schedule,total,completed,censored,direct_tp,be_rescue,hard_loss,mean_dollars,total_dollars,pf,worst_dollars
1_1_1,648,542,106,148,331,63,0.053357933579335826,28.920000000000016,1.0154939915243792,-51.71
1_.5_.25,648,530,118,148,286,96,-0.3071367924528292,-162.7824999999995,0.9202416037668828,-36.78
1_.5_.5,648,532,116,148,294,90,-0.23705827067668972,-126.11499999999893,0.9372181124861864,-38.89
1_.25_.25,648,524,124,148,262,114,-0.514632633587784,-269.6674999999988,0.8742059664905325,-33.0
1_2_4,648,555,93,148,367,40,-0.3307027027027052,-183.54000000000138,0.9143321228867746,-94.23
