event,censored,base,hedge_pnl,total,triggered,outcome
173,0,0.07,0,0.07,0,0
174,0,-39.72,3.13,-36.59,1,2
175,0,16.95,0,16.95,0,0
176,0,0.28,0,0.28,0,0
177,0,0.58,0,0.58,0,0
178,0,-41.27,3.42,-37.85,1,2
179,0,16.61,0,16.61,0,0
180,0,4.54747e-13,-5.67,-5.67,1,1
181,0,22.04,0,22.04,0,0
182,0,0.02,0,0.02,0,0
183,0,-50.22,3.96,-46.26,1,2
184,0,0.05,0,0.05,0,0
185,0,20.96,0,20.96,0,0
186,0,0.53,0,0.53,0,0
187,0,0.27,0,0.27,0,0
188,0,-49.94,3.98,-45.96,1,2
189,0,0.11,0,0.11,0,0
190,0,0.16,0,0.16,0,0
191,0,0.13,0,0.13,0,0
192,0,17.8,0,17.8,0,0
193,0,0.22,0,0.22,0,0
194,0,0.11,0,0.11,0,0
195,0,17.46,0,17.46,0,0
196,0,0.1,0,0.1,0,0
197,0,16.6,0,16.6,0,0
198,0,0.19,0,0.19,0,0
199,0,0.02,0,0.02,0,0
200,0,0.34,0,0.34,0,0
201,0,0,0,0,0,0
202,1,0,0,0,0,0
203,0,0.01,0,0.01,0,0
204,0,0.53,0,0.53,0,0
205,0,0.26,0,0.26,0,0
206,1,0,0,0,0,0
207,1,0,0,0,0,0
208,1,0,0,0,0,0
209,1,0,0,0,0,0
210,1,0,0,0,0,0
211,0,0.17,0,0.17,0,0
212,0,13.12,0,13.12,0,0
213,0,0.01,0,0.01,0,0
214,0,0.01,0,0.01,0,0
215,0,0,0,0,0,0
216,0,-4.54747e-13,0,-4.54747e-13,0,0
217,1,0,0,0,0,0
218,0,0.14,0,0.14,0,0
219,0,14.47,0,14.47,0,0
220,0,0.09,0,0.09,0,0
221,0,0.09,0,0.09,0,0
222,0,0.09,0,0.09,0,0
223,0,-32.15,3.07,-29.08,1,2
224,0,12.04,0,12.04,0,0
225,0,0.03,0,0.03,0,0
226,0,0.92,0,0.92,0,0
227,0,0.04,0,0.04,0,0
228,0,0.08,0,0.08,0,0
229,0,0.07,0,0.07,0,0
230,1,0,0,0,0,0
231,1,0,0,0,0,0
232,1,0,0,0,0,0
233,0,0.14,-2.54,-2.4,1,1
234,0,0.15,0,0.15,0,0
235,1,0,0,0,0,0
