action,N,mean_total,total,mean_q_from_deep,worst
HOLD,103,-10.294951456310683,-1060.3800000000003,5.0225242718446585,-42.71
REDUCE_LATEST,103,-14.035339805825245,-1445.6400000000003,1.2821359223300972,-44.89
REDUCE_HALF_ALL,103,-12.806213592233007,-1319.0399999999997,2.5112621359223293,-32.18
EXIT,103,-15.31747572815534,-1577.7,0.0,-32.37
FLIP,103,-16.704466019417474,-1720.56,-1.3869902912621361,-41.08
