Lbucket,upgraded_children,added_units,wins,losses,gross_profit,gross_loss,net_delta_pnl,pf,avg_delta_per_child,max_gain,max_loss
L1-2,111,222.0,2,109,37.81999999999971,4075.3694340460524,-4037.5494340460527,0.00928014026999554,-36.374319225640114,37.80000000000109,-139.13999999999942
L12+,58,116.0,39,19,8065.840000000008,703.2728512487629,7362.567148751245,11.469005217076047,126.94081290950423,1608.6800000000003,-139.53568988230654
L3-5,110,220.0,39,71,1289.6600000000062,2213.676855353413,-924.0168553534068,0.5825872899566058,-8.400153230485516,159.54000000000087,-136.79999999999927
L6-8,76,152.0,54,22,3275.0200000000023,838.3466771010781,2436.673322898924,3.906522312851177,32.06149109077532,280.34000000000015,-162.2845176807332
L9-11,38,76.0,32,6,2933.880000000001,122.47999999999774,2811.4000000000033,23.953951665578504,73.98421052631588,305.85999999999876,-68.5
