quarter,policy,children,active_children,units,net_R,gross_R,loss_R,PF_R,spread_adj_R,price_pnl,gross_price_profit,gross_price_loss,PF_price,spread_adj_price_pnl,fixed_1pct_net_usd,fixed_1pct_gross_profit_usd,fixed_1pct_gross_loss_usd
2024Q4,R4_BASE,374,236,428.0,23.87592005071678,158.49994002276415,134.62401997204734,1.1773526006404673,19.225258538969054,-246.91627462203766,2245.4000000000065,2492.316274622044,0.9009289963973444,-324.1562746220377,192.25258538969055,1570.3956411116142,1378.1430557219237
2024Q4,R7G_ALL,374,236,536.0,34.85456541693197,209.91516616039868,175.06060074346675,1.1990999989084221,28.649242618889243,-37.20691162974569,3078.520000000009,3115.726911629755,0.9880583527744786,-134.86691162974574,286.4924261888924,2079.7598581830807,1793.2674319941889
2024Q4,R7G_NO_K3P_SHORT,374,236,516.0,45.46613091687974,209.37270662921708,163.90657571233737,1.2773905239572243,39.408986542737665,204.86372537796208,3055.7000000000085,2850.8362746220464,1.0718609227761149,110.52372537796217,394.08986542737665,2074.4160850625885,1680.3262196352125
2025Q1,R4_BASE,362,194,380.0,157.36566030910961,245.39830765233575,88.0326473432261,2.7875829599394475,152.5520646407667,2534.798518329401,4142.269999999997,1607.471481670596,2.5768855293750295,2450.8985183294008,1525.520646407667,2434.3913323416377,908.8706859339707
2025Q1,R7G_ALL,362,194,494.0,207.8959031660819,329.19654282387603,121.30063965779414,2.7138895866714714,201.4055895248067,2907.2385183294023,5059.81,2152.571481670598,2.350588606736122,2796.9785183294025,2014.055895248067,3266.2314222272903,1252.1755269792236
2025Q1,R7G_NO_K3P_SHORT,362,194,476.0,211.2106884533572,326.9622476268437,115.75155917348651,2.824689792184986,204.88660153557984,2961.878518329401,5017.269999999999,2055.391481670598,2.4410288963161513,2854.698518329401,2048.8660153557985,3244.3992110698127,1195.5331957140147
2025Q2,R4_BASE,371,257,509.0,41.37590473986256,183.51610206707386,142.14019732721133,1.2910922140104664,38.398639453737495,2767.2178894951335,7774.190000000006,5006.972110504873,1.552672918566767,2666.317889495134,383.98639453737496,1826.4533924945456,1442.4669979571706
2025Q2,R7G_ALL,371,257,613.0,48.066820301210456,228.49091140383203,180.42409110262156,1.2664102116710736,44.376282580829546,3402.9527655667675,9680.290000000005,6277.337234433237,1.5421013143758573,3280.7527655667673,443.7628258082955,2273.4920383627186,1829.7292125544234
2025Q2,R7G_NO_K3P_SHORT,371,257,605.0,52.72070949856315,228.49091140383203,175.7702019052689,1.2999411101944167,49.084937957408336,3545.8327655667676,9680.290000000005,6134.457234433237,1.578018988487474,3425.0127655667675,490.84937957408334,2273.4920383627186,1782.6426587886358
2025Q3,R4_BASE,381,166,266.0,20.063802318671417,83.55729738375369,63.49349506508228,1.3159977616306293,18.021403958251476,136.90524404152714,1778.5100000000007,1641.6047559584736,1.0833972023683576,90.44524404152716,180.21403958251477,827.4425548031556,647.228515220641
2025Q3,R7G_ALL,381,166,360.0,55.31916414827673,143.12184291560882,87.80267876733207,1.6300395947470665,52.467335790798565,767.3157321245762,2958.950000000003,2191.6342678754268,1.3501112130667738,704.2357321245762,524.6733579079856,1419.2061277411765,894.5327698331907
2025Q3,R7G_NO_K3P_SHORT,381,166,350.0,58.972487642177185,142.50308568457015,83.53059804239297,1.7059986283379391,56.19398955796831,837.3963447233718,2940.3100000000036,2102.9136552766317,1.3982076689749845,776.0563447233718,561.939895579683,1413.2771958436658,851.3373002639826
2025Q4,R4_BASE,372,249,505.0,95.31439732798192,239.02749560527175,143.7130982772898,1.6632269324823539,93.17360018916656,2662.531558328969,9565.400000000016,6902.8684416710485,1.3857137914226887,2573.3215583289684,931.7360018916656,2381.7477038461593,1450.0117019544932
2025Q4,R7G_ALL,372,249,617.0,149.04783817631713,321.52829618059434,172.4804580042772,1.8641433348502647,146.30777002489933,4440.03553111343,12341.680000000022,7901.644468886593,1.5619128459394056,4331.1455311134305,1463.0777002489933,3203.642219128881,1740.5645188798876
2025Q4,R7G_NO_K3P_SHORT,372,249,615.0,148.55467960258218,321.0351376068594,172.4804580042772,1.86128412065614,145.824175738655,4423.53553111343,12325.180000000022,7901.644468886593,1.5598246730198355,4314.96553111343,1458.2417573865498,3198.806276266437,1740.5645188798876
2026Q1,R4_BASE,362,203,403.0,99.8378422318324,196.11545037517683,96.27760814334442,2.0369788381446625,98.67961251046306,11726.033624431548,20427.609999999993,8701.576375568446,2.347575786078821,11640.103624431547,986.7961251046306,1956.2277767879687,969.4316516833383
2026Q1,R7G_ALL,362,203,535.0,169.5746270833668,312.8924438601222,143.31781677675545,2.183206881720165,167.78908261156243,14648.529106750822,25877.069999999992,11228.540893249174,2.3045799312676336,14534.419106750824,1677.8908261156243,3121.552545349654,1443.6617192340286
2026Q1,R7G_NO_K3P_SHORT,362,203,533.0,161.03922559576722,304.35704237252264,143.31781677675545,2.123651121804459,159.2568374951174,13458.689106750819,24687.229999999996,11228.540893249174,2.198614248699264,13345.01910675082,1592.568374951174,3036.230094185203,1443.6617192340286
2026Q2,R4_BASE,370,174,316.0,26.2629270751249,100.51805684936704,74.25512977424215,1.353685020213042,24.80464384023131,2083.1875429208735,6432.800000000006,4349.612457079131,1.478936356624237,2001.907542920873,248.0464384023131,999.4356611195306,751.3892227172178
2026Q2,R7G_ALL,370,174,330.0,26.734491605066246,106.05649049710081,79.32199889203459,1.3370375429072914,25.16857762088688,2105.9875429208746,6650.060000000008,4544.072457079132,1.463458178277944,2020.8675429208743,251.6857762088688,1054.337260473396,802.6514842645275
2026Q2,R7G_NO_K3P_SHORT,370,174,330.0,26.734491605066246,106.05649049710081,79.32199889203459,1.3370375429072914,25.16857762088688,2105.9875429208746,6650.060000000008,4544.072457079132,1.463458178277944,2020.8675429208743,251.6857762088688,1054.337260473396,802.6514842645275
2026Q3,R4_BASE,248,170,288.0,20.973320744637107,111.16386740593882,90.1905466613017,1.2325445572849179,19.033358542387433,1570.8908869908632,5225.760000000019,3654.8691130091556,1.4298076999254032,1491.9208869908634,190.33358542387433,1105.054552269034,914.7209668451599
2026Q3,R7G_ALL,248,170,396.0,49.51745554782156,176.90937158687854,127.39191603905701,1.3887017095546315,46.70074863689844,2648.8708869908655,7547.780000000023,4898.909113009157,1.5407062727407481,2541.140886990866,467.00748636898436,1759.4079511771392,1292.400464808155
2026Q3,R7G_NO_K3P_SHORT,248,170,390.0,49.71814871230026,176.5611402087526,126.84299149645236,1.3919660686470863,46.92960452963395,2656.690886990866,7528.600000000023,4871.909113009157,1.5453079738078177,2550.4808869908666,469.29604529633946,1756.109678093096,1286.8136327967566
