policy,events,units,R,pnl,PF_R,DD_R,mean_R_per_unit,stop_unit_rate,severe_unit_rate,right3_child_retention,right5_child_retention,max_run_units,max_concurrent_units,position_hours,quarter
R4_YEAR_Q,837,1651,268.5846764665783,18878.261102481676,1.6228618339700722,53.107157155683126,0.16267999785982937,0.09993943064809206,0.20169594185342216,0.532258064516129,0.3333333333333333,44,44,36305.66666666667,
R4_YEAR_Q,246,496,60.94254150166172,3612.221798938925,1.452139902494204,43.609184206535694,0.12286802722109218,0.10887096774193548,0.2217741935483871,0.7777777777777778,0.6666666666666666,44,44,12812.8,2025Q2
R4_YEAR_Q,227,439,98.33866999331266,2796.860934526604,1.825277830295481,31.04469937383996,0.2240060819893227,0.11845102505694761,0.19817767653758542,0.8333333333333334,1.0,22,21,8534.7,2025Q4
R4_YEAR_Q,204,416,99.60434380310568,11260.769106750819,1.9709869222897063,31.929840245827478,0.23943351875746557,0.08413461538461539,0.19230769230769232,0.35714285714285715,0.21428571428571427,25,25,8159.8,2026Q1
R4_YEAR_Q,160,300,9.699121168498205,1208.4092622653288,1.129867075012267,25.785468066642615,0.03233040389499402,0.08,0.18666666666666668,0.14285714285714285,0.0,22,22,6798.366666666667,2026Q2
R4_QUARTER_Q,883,1733,262.7910713748018,19238.970615176524,1.5758087497699107,50.431007530426506,0.15163939490756018,0.10444316214656665,0.20542412002308136,0.532258064516129,0.3333333333333333,40,40,36832.25,
R4_QUARTER_Q,257,509,41.37590473986256,2767.2178894951335,1.2910922140104664,50.31687046354055,0.0812886144201622,0.10805500982318271,0.22789783889980353,0.7777777777777778,0.6666666666666666,40,40,12719.7,2025Q2
R4_QUARTER_Q,249,505,95.31439732798194,2662.531558328969,1.6632269324823539,34.199913592044624,0.18874138084748898,0.12871287128712872,0.21782178217821782,0.8333333333333334,1.0,21,21,9433.2,2025Q4
R4_QUARTER_Q,203,403,99.83784223183238,11726.03362443155,2.0369788381446625,30.10429680269425,0.24773658122042774,0.08933002481389578,0.18114143920595532,0.32142857142857145,0.21428571428571427,25,25,7862.416666666667,2026Q1
R4_QUARTER_Q,174,316,26.262927075124907,2083.1875429208735,1.353685020213042,23.673307804329955,0.0831105287187497,0.07911392405063292,0.18037974683544303,0.2857142857142857,0.0,23,23,6816.933333333333,2026Q2
META_QUARTER_Q,766,1834,215.93011175087605,13171.621317592999,1.2706379321417878,104.68304148858402,0.11773724741051039,0.31624863685932386,0.40567066521264994,0.6774193548387096,0.6666666666666666,40,40,31458.05,
META_QUARTER_Q,241,685,-25.85763208282171,3020.667270126351,0.9139293087392,104.68304148858402,-0.037748368004119286,0.3167883211678832,0.39854014598540144,0.7777777777777778,0.6666666666666666,40,40,13509.883333333333,2025Q2
META_QUARTER_Q,117,183,25.58951580972438,916.3427939787662,1.312238859223729,27.307873801615816,0.13983341972526983,0.34972677595628415,0.43169398907103823,0.5,0.5,13,13,2537.7333333333336,2025Q4
META_QUARTER_Q,165,319,239.9415314255852,8809.841766685404,2.9051614034232287,25.556640354816764,0.7521678101115523,0.2946708463949843,0.3793103448275862,0.6785714285714286,0.6428571428571429,14,14,5857.733333333334,2026Q1
META_QUARTER_Q,243,647,-23.74330340161182,424.7694868024769,0.9179950578597298,100.2029289758012,-0.03669753230542785,0.3168469860896445,0.4188562596599691,1.0,1.0,19,19,9552.7,2026Q2
