year,policy,net_R,price_pnl,gross_R,loss_R,gross_price_profit,gross_price_loss
2024,R4_BASE,23.87592005071678,-246.91627462203766,158.49994002276415,134.62401997204734,2245.4000000000065,2492.316274622044
2024,R7G_ALL,34.85456541693197,-37.20691162974569,209.91516616039868,175.06060074346675,3078.520000000009,3115.726911629755
2024,R7G_NO_K3P_SHORT,45.46613091687974,204.86372537796208,209.37270662921708,163.90657571233737,3055.7000000000085,2850.8362746220464
2025,R4_BASE,314.1197646956256,8101.45321019503,751.499202708435,437.3794380128095,23260.370000000017,15158.916789804993
2025,R7G_ALL,460.3297257918862,11517.542547134177,1022.3375933239112,562.0078675320251,30040.730000000032,18523.18745286585
2025,R7G_NO_K3P_SHORT,471.4585651966797,11768.64315973297,1018.9913823221052,547.5328171254256,29963.05000000003,18194.40684026706
2026,R4_BASE,147.0740900515944,15380.112054343286,407.79737463048264,260.72328457888824,32086.17000000002,16706.057945656736
2026,R7G_ALL,245.8265742362546,19403.38753666256,595.8583059441016,350.03173170784703,40074.91000000002,20671.522463337464
2026,R7G_NO_K3P_SHORT,237.49186591313372,18221.36753666256,586.9746730783761,349.4828071652424,38865.89000000002,20644.522463337464
