Lbucket,base_R,cand_R,delta_R,upgrades
L1-2,-216.038760636527,-303.5315347671541,-87.49277413062705,66
L3-5,-135.6831584442918,-153.5210194296019,-17.837860985310087,73
L6-8,171.7503331244236,245.95971810675894,74.20938498233535,41
L9-11,197.78980064797506,257.94826716425325,60.15846651627822,19
L12+,268.84877673393873,381.42291150863633,112.57413477469758,36
