H4_bars,quarter,upgrade_n,delta_R
120,2024Q4,51,-2.7043021148293995
120,2025Q1,45,37.766556996640944
120,2025Q2,50,0.890204122135116
120,2025Q3,54,25.780551397459472
120,2025Q4,49,53.23849734909545
120,2026Q1,60,61.33930402990871
120,2026Q2,24,-9.728486925635616
120,2026Q3,50,14.064207489060397
180,2024Q4,54,10.978645366215183
180,2025Q1,57,50.53024285697229
180,2025Q2,52,6.690915561347902
180,2025Q3,47,35.255361829605306
180,2025Q4,56,53.73344084833521
180,2026Q1,66,69.7367848515344
180,2026Q2,7,0.47156452994134224
180,2026Q3,54,28.544134803184463
240,2024Q4,65,12.757808398475564
240,2025Q1,62,44.6605926813027
240,2025Q2,50,10.61661210257637
240,2025Q3,51,29.73465020928134
240,2025Q4,65,42.853435164757805
240,2026Q1,66,69.7367848515344
240,2026Q2,13,-2.3976630479290706
240,2026Q3,48,10.945504455965551
