section,candidate,fold_spearman_mean,fold_spearman_min,fold_spearman_std,fold_top25_mean_R_mean,fold_top10_mean_R_mean,fold_bottom25_mean_R_mean,pooled_n,pooled_spearman,pooled_top25_mean_R,pooled_top10_mean_R,pooled_bottom25_mean_R,pooled_R3_top25_retention,pooled_R3_top10_retention,pooled_R3_count,pooled_R5_top25_retention,pooled_R5_top10_retention,pooled_R5_count,selected_learned,fold,n,spearman,top25_mean_R,top10_mean_R,bottom25_mean_R,R3_top25_retention,R3_top10_retention,R3_count,R5_top25_retention,R5_top10_retention,R5_count
summary,BASE_NEG_PSTOP,0.25580788728660836,0.20797783032032235,0.04384450347551438,0.021042423741654714,0.1039600736836923,0.21747048218047846,1132.0,0.25347800237614254,0.017152094390828838,0.04677939892113577,0.15107468928070936,0.02040816326530612,0.0,49.0,0.0,0.0,22.0,0.0,,,,,,,,,,,,
summary,HUBER_ROBUST,0.23087394744607911,0.15645782125847366,0.05829163906116158,0.031142702347833052,-0.012511967289936721,0.13261503921341933,1132.0,0.22555738941632206,0.003611516020121604,-0.034583688333757336,0.15270302366262906,0.04081632653061224,0.04081632653061224,49.0,0.0,0.0,22.0,1.0,,,,,,,,,,,,
summary,BASE_R4_Q50,0.14791738761489695,0.0948640405835529,0.04238431886471304,-0.06804806022549278,-0.05410969782660715,0.29013864721047566,1132.0,0.1515577028966507,-0.06680554781205128,-0.054166658987288875,0.2611873312808162,0.061224489795918366,0.061224489795918366,49.0,0.045454545454545456,0.045454545454545456,22.0,0.0,,,,,,,,,,,,
summary,BASE_R5_EV,0.13692031413504155,0.09197552314998246,0.059541084426851035,0.030458758688365898,-0.029374261248821948,0.07901930845765318,1132.0,0.13697696852121702,0.026806933191311617,-0.04653304200670037,0.1170729900459908,0.12244897959183673,0.02040816326530612,49.0,0.045454545454545456,0.0,22.0,0.0,,,,,,,,,,,,
summary,BASE_R4_MEAN,0.017257880835059858,-0.07183725206714513,0.07120294089510984,0.014705344948045948,0.0973316867579032,0.21214362153160615,1132.0,0.01974787158755479,0.03220173106617862,0.12568683899952793,0.207821814402638,0.2653061224489796,0.1836734693877551,49.0,0.18181818181818182,0.13636363636363635,22.0,0.0,,,,,,,,,,,,
summary,RIDGE_STANDARD,-0.005581039287246587,-0.04830098488835904,0.039944050743121545,0.20756936156032743,-0.033213804825852206,0.10465222951038337,1132.0,-0.01212233083009515,0.18526061871285912,-0.005104625420166542,0.08623952552198172,0.42857142857142855,0.12244897959183673,49.0,0.4090909090909091,0.13636363636363635,22.0,0.0,,,,,,,,,,,,
summary,RIDGE_ROBUST,-0.009413436378764467,-0.05676068449570144,0.04294685289028618,0.17921734175767465,-0.06611174574794645,0.07509230486263269,1132.0,-0.016529749617287533,0.16826418474955432,-0.02912336456247245,0.09645812954907604,0.42857142857142855,0.14285714285714285,49.0,0.36363636363636365,0.13636363636363635,22.0,0.0,,,,,,,,,,,,
summary,HISTGB_SHALLOW,-0.018444347123712474,-0.0571239154215083,0.031761334919722314,0.034540878007767825,0.11870164274095867,0.14808244908084198,1132.0,-0.025828188370411228,0.04150771613016245,0.15830779847589269,0.11661270888588826,0.2857142857142857,0.20408163265306123,49.0,0.45454545454545453,0.2727272727272727,22.0,0.0,,,,,,,,,,,,
fold,RIDGE_STANDARD,,,,,,,,,,,,,,,,,,,Q2,377.0,-0.04830098488835904,-0.0941664985911837,-0.3272596269648286,0.3074741215352329,0.25,0.0625,16.0,0.125,0.0,8.0
fold,RIDGE_ROBUST,,,,,,,,,,,,,,,,,,,Q2,377.0,-0.05676068449570144,-0.1018520808709759,-0.2737385428033077,0.1383709573045055,0.25,0.0625,16.0,0.125,0.0,8.0
fold,HUBER_ROBUST,,,,,,,,,,,,,,,,,,,Q2,377.0,0.15645782125847366,-0.16509721912194716,-0.23415113725515005,0.08015906540553346,0.0,0.0,16.0,0.0,0.0,8.0
fold,HISTGB_SHALLOW,,,,,,,,,,,,,,,,,,,Q2,377.0,-0.0571239154215083,-0.14092432489439685,0.12302064844137336,0.13157080918232503,0.1875,0.1875,16.0,0.25,0.25,8.0
fold,BASE_R4_MEAN,,,,,,,,,,,,,,,,,,,Q2,377.0,0.021168873143863138,-0.2176018995743576,-0.2606194830961739,-0.0007637638086533908,0.125,0.125,16.0,0.0,0.0,8.0
fold,BASE_R4_Q50,,,,,,,,,,,,,,,,,,,Q2,377.0,0.0948640405835529,-0.18251551376076033,-0.27101840530380533,0.2347782038400739,0.0,0.0,16.0,0.0,0.0,8.0
fold,BASE_R5_EV,,,,,,,,,,,,,,,,,,,Q2,377.0,0.22105862747989952,0.04388243997052517,-0.000425404152631449,-0.1256841945540839,0.1875,0.0625,16.0,0.125,0.0,8.0
fold,BASE_NEG_PSTOP,,,,,,,,,,,,,,,,,,,Q2,377.0,0.24555092481995494,-0.04195844664523696,-0.03830450674917172,0.2253969358943398,0.0,0.0,16.0,0.0,0.0,8.0
fold,RIDGE_STANDARD,,,,,,,,,,,,,,,,,,,Q3,381.0,0.04778745535565809,0.5385686676572803,-0.004645763329079044,-0.09090496840685623,0.6111111111111112,0.16666666666666666,18.0,0.8333333333333334,0.16666666666666666,6.0
fold,RIDGE_ROBUST,,,,,,,,,,,,,,,,,,,Q3,381.0,0.047204486603565333,0.46456541405778773,-0.08858856838662413,-0.056618599440057905,0.5555555555555556,0.1111111111111111,18.0,0.6666666666666666,0.16666666666666666,6.0
fold,HUBER_ROBUST,,,,,,,,,,,,,,,,,,,Q3,381.0,0.29879931672186816,0.035751684267277824,0.10273321136461333,0.14388822677952476,0.05555555555555555,0.05555555555555555,18.0,0.0,0.0,6.0
fold,HISTGB_SHALLOW,,,,,,,,,,,,,,,,,,,Q3,381.0,-0.018880605072420172,0.10055105476189939,-0.022324165296729745,0.07938721147846324,0.3888888888888889,0.2222222222222222,18.0,0.5,0.3333333333333333,6.0
fold,BASE_R4_MEAN,,,,,,,,,,,,,,,,,,,Q3,381.0,0.10244202142846157,0.2198013197507076,0.39374056783469213,0.10248204861004058,0.3888888888888889,0.2222222222222222,18.0,0.3333333333333333,0.16666666666666666,6.0
fold,BASE_R4_Q50,,,,,,,,,,,,,,,,,,,Q3,381.0,0.19860296228557472,-0.07112059557159175,0.046751605204606604,0.2507694389098091,0.05555555555555555,0.05555555555555555,18.0,0.0,0.0,6.0
fold,BASE_R5_EV,,,,,,,,,,,,,,,,,,,Q3,381.0,0.09772679177524266,-0.13250486973255812,-0.030010472985924554,0.1692848357778096,0.1111111111111111,0.05555555555555555,18.0,0.0,0.0,6.0
fold,BASE_NEG_PSTOP,,,,,,,,,,,,,,,,,,,Q3,381.0,0.31389490671954773,0.12910379886457898,0.2988311365266063,0.2503031308341607,0.1111111111111111,0.0,18.0,0.0,0.0,6.0
fold,RIDGE_STANDARD,,,,,,,,,,,,,,,,,,,Q4,374.0,-0.016229588329038817,0.17830591561488568,0.23226397581635103,0.09738753540277346,0.3333333333333333,0.13333333333333333,15.0,0.375,0.25,8.0
fold,RIDGE_ROBUST,,,,,,,,,,,,,,,,,,,Q4,374.0,-0.018684111244157295,0.1749386920862121,0.16399187394609252,0.14352455672345046,0.3333333333333333,0.13333333333333333,15.0,0.375,0.25,8.0
