block,target,model,n,positives,base_rate,auc,ap,top10_n,top10_hits,top10_recall,top10_precision,top10_lift,top25_n,top25_hits,top25_recall,top25_precision,top25_lift
2025Q2,right3,HGB_SHALLOW,371,9,0.02425876010781671,0.5042971147943524,0.033372339126823226,38,2,0.2222222222222222,0.05263157894736842,2.1695906432748537,93,2,0.2222222222222222,0.021505376344086023,0.886499402628435
2025Q2,right5,HGB_SHALLOW,371,3,0.008086253369272238,0.5579710144927537,0.01162516921333419,38,0,0.0,0.0,0.0,93,0,0.0,0.0,0.0
2025Q2,right3,LOGIT_ROBUST,371,9,0.02425876010781671,0.5994475138121547,0.06839084594945245,38,1,0.1111111111111111,0.02631578947368421,1.0847953216374269,93,3,0.3333333333333333,0.03225806451612903,1.3297491039426523
2025Q2,right5,LOGIT_ROBUST,371,3,0.008086253369272238,0.7146739130434782,0.018029321921235613,38,0,0.0,0.0,0.0,93,1,0.3333333333333333,0.010752688172043012,1.3297491039426523
2025Q2,right3,BASE_Q90,371,9,0.02425876010781671,0.4659300184162062,0.15954343996215034,38,3,0.3333333333333333,0.07894736842105263,3.2543859649122804,93,3,0.3333333333333333,0.03225806451612903,1.3297491039426523
2025Q2,right5,BASE_Q90,371,3,0.008086253369272238,0.5181159420289856,0.015623459206732459,38,1,0.3333333333333333,0.02631578947368421,3.2543859649122804,93,1,0.3333333333333333,0.010752688172043012,1.3297491039426523
2025Q2,right3,BASE_MEAN,371,9,0.02425876010781671,0.478207489257213,0.045232497905957667,38,1,0.1111111111111111,0.02631578947368421,1.0847953216374269,93,2,0.2222222222222222,0.021505376344086023,0.886499402628435
2025Q2,right5,BASE_MEAN,371,3,0.008086253369272238,0.39855072463768115,0.008753954558527467,38,0,0.0,0.0,0.0,93,0,0.0,0.0,0.0
2025Q2,right3,BASE_EV,371,9,0.02425876010781671,0.6608348680171885,0.04837454900736818,38,1,0.1111111111111111,0.02631578947368421,1.0847953216374269,93,5,0.5555555555555556,0.053763440860215055,2.216248506571087
2025Q2,right5,BASE_EV,371,3,0.008086253369272238,0.37771739130434784,0.008359805849345599,38,0,0.0,0.0,0.0,93,0,0.0,0.0,0.0
2025Q2,right3,BASE_NEG_PSTOP,371,9,0.02425876010781671,0.4340085942295887,0.023733578208750675,38,0,0.0,0.0,0.0,93,2,0.2222222222222222,0.021505376344086023,0.886499402628435
2025Q2,right5,BASE_NEG_PSTOP,371,3,0.008086253369272238,0.27264492753623193,0.007258802407965639,38,0,0.0,0.0,0.0,93,0,0.0,0.0,0.0
2025Q4,right3,HGB_SHALLOW,372,18,0.04838709677419355,0.5321720025109855,0.055331232157760715,38,1,0.05555555555555555,0.02631578947368421,0.543859649122807,93,5,0.2777777777777778,0.053763440860215055,1.1111111111111112
2025Q4,right5,HGB_SHALLOW,372,2,0.005376344086021506,0.5594594594594594,0.03261689291101056,38,1,0.5,0.02631578947368421,4.894736842105263,93,1,0.5,0.010752688172043012,2.0
2025Q4,right3,LOGIT_ROBUST,372,18,0.04838709677419355,0.5480225988700566,0.06382950931886948,38,2,0.1111111111111111,0.05263157894736842,1.087719298245614,93,4,0.2222222222222222,0.043010752688172046,0.888888888888889
2025Q4,right5,LOGIT_ROBUST,372,2,0.005376344086021506,0.5581081081081081,0.06560559006211181,38,1,0.5,0.02631578947368421,4.894736842105263,93,1,0.5,0.010752688172043012,2.0
2025Q4,right3,BASE_Q90,372,18,0.04838709677419355,0.5552416823603264,0.06065476365312429,38,2,0.1111111111111111,0.05263157894736842,1.087719298245614,93,5,0.2777777777777778,0.053763440860215055,1.1111111111111112
2025Q4,right5,BASE_Q90,372,2,0.005376344086021506,0.5499999999999999,0.012356159215242406,38,0,0.0,0.0,0.0,93,1,0.5,0.010752688172043012,2.0
2025Q4,right3,BASE_MEAN,372,18,0.04838709677419355,0.5375078468298807,0.05776120480920924,38,1,0.05555555555555555,0.02631578947368421,0.543859649122807,93,6,0.3333333333333333,0.06451612903225806,1.3333333333333333
2025Q4,right5,BASE_MEAN,372,2,0.005376344086021506,0.5121621621621621,0.009157509157509158,38,0,0.0,0.0,0.0,93,1,0.5,0.010752688172043012,2.0
2025Q4,right3,BASE_EV,372,18,0.04838709677419355,0.6075015693659762,0.07023181091074503,38,3,0.16666666666666666,0.07894736842105263,1.631578947368421,93,6,0.3333333333333333,0.06451612903225806,1.3333333333333333
2025Q4,right5,BASE_EV,372,2,0.005376344086021506,0.7189189189189189,0.0605060506050605,38,1,0.5,0.02631578947368421,4.894736842105263,93,1,0.5,0.010752688172043012,2.0
2025Q4,right3,BASE_NEG_PSTOP,372,18,0.04838709677419355,0.4887005649717514,0.04649844366912702,38,1,0.05555555555555555,0.02631578947368421,0.543859649122807,93,2,0.1111111111111111,0.021505376344086023,0.4444444444444445
2025Q4,right5,BASE_NEG_PSTOP,372,2,0.005376344086021506,0.3189189189189189,0.005813366536545969,38,0,0.0,0.0,0.0,93,0,0.0,0.0,0.0
2026Q1,right3,HGB_SHALLOW,362,28,0.07734806629834254,0.5479041916167665,0.09763878675666111,37,5,0.17857142857142858,0.13513513513513514,1.7471042471042473,91,8,0.2857142857142857,0.08791208791208792,1.1365777080062796
2026Q1,right5,HGB_SHALLOW,362,14,0.03867403314917127,0.5814860426929394,0.05165121757606013,37,2,0.14285714285714285,0.05405405405405406,1.3976833976833978,91,4,0.2857142857142857,0.04395604395604396,1.1365777080062796
2026Q1,right3,LOGIT_ROBUST,362,28,0.07734806629834254,0.6506629597946963,0.21322921767240963,37,9,0.32142857142857145,0.24324324324324326,3.144787644787645,91,14,0.5,0.15384615384615385,1.9890109890109893
2026Q1,right5,LOGIT_ROBUST,362,14,0.03867403314917127,0.7060755336617406,0.18769513354926426,37,4,0.2857142857142857,0.10810810810810811,2.7953667953667956,91,8,0.5714285714285714,0.08791208791208792,2.273155416012559
2026Q1,right3,BASE_Q90,362,28,0.07734806629834254,0.5128314798973481,0.1487302064927586,37,6,0.21428571428571427,0.16216216216216217,2.0965250965250966,91,10,0.35714285714285715,0.10989010989010989,1.4207221350078494
2026Q1,right5,BASE_Q90,362,14,0.03867403314917127,0.5640394088669951,0.11393434422865213,37,4,0.2857142857142857,0.10810810810810811,2.7953667953667956,91,6,0.42857142857142855,0.06593406593406594,1.7048665620094192
2026Q1,right3,BASE_MEAN,362,28,0.07734806629834254,0.4397989734816082,0.10980544310223408,37,3,0.10714285714285714,0.08108108108108109,1.0482625482625483,91,8,0.2857142857142857,0.08791208791208792,1.1365777080062796
2026Q1,right5,BASE_MEAN,362,14,0.03867403314917127,0.4536124794745484,0.0751034290435956,37,2,0.14285714285714285,0.05405405405405406,1.3976833976833978,91,5,0.35714285714285715,0.054945054945054944,1.4207221350078494
2026Q1,right3,BASE_EV,362,28,0.07734806629834254,0.3422797262617622,0.11404572213158927,37,4,0.14285714285714285,0.10810810810810811,1.3976833976833978,91,6,0.21428571428571427,0.06593406593406594,0.8524332810047096
2026Q1,right5,BASE_EV,362,14,0.03867403314917127,0.23953201970443347,0.09555364451277185,37,1,0.07142857142857142,0.02702702702702703,0.6988416988416989,91,1,0.07142857142857142,0.01098901098901099,0.2841444270015699
2026Q1,right3,BASE_NEG_PSTOP,362,28,0.07734806629834254,0.24176646706586824,0.05012353761255865,37,1,0.03571428571428571,0.02702702702702703,0.34942084942084944,91,2,0.07142857142857142,0.02197802197802198,0.2841444270015699
2026Q1,right5,BASE_NEG_PSTOP,362,14,0.03867403314917127,0.1364942528735632,0.022915143634593124,37,0,0.0,0.0,0.0,91,0,0.0,0.0,0.0
2026Q2,right3,HGB_SHALLOW,370,7,0.01891891891891892,0.5548996458087367,0.03156831497831056,37,1,0.14285714285714285,0.02702702702702703,1.4285714285714286,93,1,0.14285714285714285,0.010752688172043012,0.5683563748079877
2026Q2,right5,HGB_SHALLOW,370,2,0.005405405405405406,0.686141304347826,0.04617117117117117,37,1,0.5,0.02702702702702703,5.0,93,1,0.5,0.010752688172043012,1.989247311827957
2026Q2,right3,LOGIT_ROBUST,370,7,0.01891891891891892,0.500590318772137,0.02159405747217981,37,0,0.0,0.0,0.0,93,2,0.2857142857142857,0.021505376344086023,1.1367127496159755
2026Q2,right5,LOGIT_ROBUST,370,2,0.005405405405405406,0.6046195652173914,0.01358333985751194,37,0,0.0,0.0,0.0,93,1,0.5,0.010752688172043012,1.989247311827957
