policy,units,raw_price_pnl,spread_cost_price_units,spread_adj_price_pnl,raw_PF,spread_adj_PF,spread_adj_gross_profit,spread_adj_gross_loss
R4_BASE,3095.0,23234.648989916277,643.89,22590.758989916278,1.676265453614983,1.6499850912229321,57346.57000000005,34755.811010083766
R7G_ALL,3881.0,30883.72317216699,809.05,30074.67317216699,1.7299315603343224,1.7025782130623803,72880.83000000006,42806.15682783308
R7G_NO_K3P_SHORT,3815.0,30194.87442177349,797.25,29397.6244217735,1.724275466723743,1.6969970399830354,71575.17000000007,42177.54557822658
