policy,raw_R,spread_adj_R,spread_cost_R,raw_PF_R,spread_adj_PF_R,raw_DD_R,spread_adj_DD_R,spread_adj_gross_R,spread_adj_loss_R
R4_BASE,485.0697747979367,463.88858167397314,21.181193123963567,1.5825077423411853,1.5481850336552427,50.31687046354034,52.68772932628988,1310.1148614773647,846.2262798033915
R7G_ALL,741.0108654450728,712.8646294095711,28.146236035501715,1.681639894332123,1.6451857343937097,59.711323708339364,62.58959376108436,1817.7629422643336,1104.8983128547627
R7G_NO_K3P_SHORT,754.4165620266933,726.7537109779873,27.66285104870599,1.7110950850350346,1.6739478276671005,57.96647356200185,59.29206535640799,1805.106783935692,1078.3530729577046
