year,policy,children,active_children,units,net_R,gross_R,loss_R,PF_R,spread_adj_R,price_pnl,gross_price_profit,gross_price_loss,PF_price,spread_adj_price_pnl,fixed_1pct_net_usd,fixed_1pct_gross_profit_usd,fixed_1pct_gross_loss_usd
2024,R4_BASE,374,236,428.0,23.87592005071678,158.49994002276415,134.62401997204734,1.1773526006404673,19.225258538969054,-246.91627462203766,2245.4000000000065,2492.316274622044,0.9009289963973444,-324.1562746220377,192.25258538969055,1570.3956411116142,1378.1430557219237
2024,R7G_ALL,374,236,536.0,34.85456541693197,209.91516616039868,175.06060074346675,1.1990999989084221,28.649242618889243,-37.20691162974569,3078.520000000009,3115.726911629755,0.9880583527744786,-134.86691162974574,286.4924261888924,2079.7598581830807,1793.2674319941889
2024,R7G_NO_K3P_SHORT,374,236,516.0,45.46613091687974,209.37270662921708,163.90657571233737,1.2773905239572243,39.408986542737665,204.86372537796208,3055.7000000000085,2850.8362746220464,1.0718609227761149,110.52372537796217,394.08986542737665,2074.4160850625885,1680.3262196352125
2025,R4_BASE,1486,866,1660.0,314.1197646956256,751.499202708435,437.3794380128095,1.7181859442748333,302.14570824192225,8101.45321019503,23260.370000000017,15158.916789804993,1.5344348361120097,7780.983210195031,3021.4570824192224,7470.034983485498,4448.577901066275
2025,R7G_ALL,1486,866,2084.0,460.3297257918862,1022.3375933239112,562.0078675320251,1.8190805723296302,444.5569779213341,11517.542547134177,30040.730000000032,18523.18745286585,1.62179053019043,11113.112547134175,4445.5697792133415,10162.571807460066,5717.002028246725
2025,R7G_NO_K3P_SHORT,1486,866,2046.0,471.4585651966797,1018.9913823221052,547.5328171254256,1.8610599227126885,455.9897047896115,11768.64315973297,29963.05000000003,18194.40684026706,1.6468275257914495,11370.73315973297,4559.897047896115,10129.974721542636,5570.0776736465195
2026,R4_BASE,980,547,1007.0,147.0740900515944,407.79737463048264,260.72328457888824,1.5641003268624192,142.51761489308177,15380.112054343286,32086.17000000002,16706.057945656736,1.9206308336995699,15133.932054343288,1425.1761489308178,4060.717990176533,2635.541841245715
2026,R7G_ALL,980,547,1261.0,245.8265742362546,595.8583059441016,350.03173170784703,1.7022979689208093,239.65840886934768,19403.38753666256,40074.91000000002,20671.522463337464,1.9386530465318148,19096.42753666256,2396.5840886934766,5935.297757000189,3538.713668306712
2026,R7G_NO_K3P_SHORT,980,547,1253.0,237.49186591313372,586.9746730783761,349.4828071652424,1.6795523586396137,231.3550196456382,18221.36753666256,38865.89000000002,20644.522463337464,1.882624801277037,17916.36753666256,2313.550196456382,5846.677032751696,3533.1268362953138
