quarter,policy,net_R,price_pnl
2024Q4,R4_BASE,23.87592005071678,-246.91627462203766
2024Q4,R7G_ALL,34.85456541693197,-37.20691162974569
2024Q4,R7G_NO_K3P_SHORT,45.46613091687974,204.86372537796208
2025Q1,R4_BASE,157.36566030910961,2534.798518329401
2025Q1,R7G_ALL,207.8959031660819,2907.2385183294023
2025Q1,R7G_NO_K3P_SHORT,211.2106884533572,2961.878518329401
2025Q2,R4_BASE,41.37590473986256,2767.2178894951335
2025Q2,R7G_ALL,48.066820301210456,3402.9527655667675
2025Q2,R7G_NO_K3P_SHORT,52.72070949856315,3545.8327655667676
2025Q3,R4_BASE,20.063802318671417,136.90524404152714
2025Q3,R7G_ALL,55.31916414827673,767.3157321245762
2025Q3,R7G_NO_K3P_SHORT,58.972487642177185,837.3963447233718
2025Q4,R4_BASE,95.31439732798192,2662.531558328969
2025Q4,R7G_ALL,149.04783817631713,4440.03553111343
2025Q4,R7G_NO_K3P_SHORT,148.55467960258218,4423.53553111343
2026Q1,R4_BASE,99.8378422318324,11726.033624431548
2026Q1,R7G_ALL,169.5746270833668,14648.529106750822
2026Q1,R7G_NO_K3P_SHORT,161.03922559576722,13458.689106750819
2026Q2,R4_BASE,26.2629270751249,2083.1875429208735
2026Q2,R7G_ALL,26.734491605066246,2105.9875429208746
2026Q2,R7G_NO_K3P_SHORT,26.734491605066246,2105.9875429208746
2026Q3,R4_BASE,20.973320744637107,1570.8908869908632
2026Q3,R7G_ALL,49.51745554782156,2648.8708869908655
2026Q3,R7G_NO_K3P_SHORT,49.71814871230026,2656.690886990866
