spec,total_delta_R,min_block_delta,positive_blocks,total_upgrades
EV_FB180,141.611351157374,0.47156452994134224,5,235
MEAN_FB180,134.35049523718988,-14.115055427087182,4,214
EV_FB360,133.60126727252583,-15.263611108477672,4,297
MEAN_FB360,156.16030655001592,-16.931969572337344,4,252
