Lbucket,policy,children,active_children,units,net_R,gross_R,loss_R,PF_R,spread_adj_R,price_pnl,gross_price_profit,gross_price_loss,PF_price,spread_adj_price_pnl,fixed_1pct_net_usd,fixed_1pct_gross_profit_usd,fixed_1pct_gross_loss_usd
L1-2,R4_BASE,614,376,610.0,-336.16551508630937,1.006060941881464,337.1715760281909,0.0029838248933455394,-341.8587077770304,-11460.220917698138,36.169999999997344,11496.390917698136,0.0031462047749537974,-11591.050917698136,-3418.587077770304,9.445353512635396,3428.0324312829403
L1-2,R7G_ALL,614,376,832.0,-485.2579479909006,1.513219825127286,486.7711678160279,0.0031086882814291865,-493.449495831827,-15497.770351744191,73.98999999999705,15571.760351744186,0.004751550134902344,-15677.44035174419,-4934.49495831827,14.436641543730593,4948.931599862
L1-2,R7G_NO_K3P_SHORT,614,376,832.0,-485.2579479909006,1.513219825127286,486.7711678160279,0.0031086882814291865,-493.449495831827,-15497.770351744191,73.98999999999705,15571.760351744186,0.004751550134902344,-15677.44035174419,-4934.49495831827,14.436641543730593,4948.931599862
L12+,R4_BASE,239,147,261.0,416.69947895762937,434.41328724102516,17.71380828339579,24.523991695688988,415.16861307231954,19479.696211042774,20344.550000000007,864.8537889572349,23.523687194028124,19428.646211042775,4151.686130723196,4331.346023331107,179.6598926079114
L12+,R7G_ALL,239,147,377.0,597.2462925029979,629.3323910190923,32.086098516094395,19.613864574510952,595.1043577386863,26842.263359794015,28410.390000000014,1568.1266402059978,18.117407913092954,26769.093359794017,5951.043577386863,6276.075436303987,325.0318589171243
L12+,R7G_NO_K3P_SHORT,239,147,375.0,588.7108910153984,620.7969895314927,32.086098516094395,19.347849013805803,586.5721126222411,25652.42335979402,27220.550000000017,1568.1266402059978,17.358642664487974,25579.693359794015,5865.721126222411,6190.7529851395375,325.0318589171243
L3-5,R4_BASE,1073,572,1078.0,-185.10361987115206,149.29393783493407,334.3975577060861,0.44645642408116454,-192.56260018062125,-8903.867197052476,4750.020000000011,13653.887197052487,0.3478877429883422,-9126.857197052475,-1925.6260018062126,1471.6396398635652,3397.2656416697782
L3-5,R7G_ALL,1073,572,1298.0,-198.52675803484095,207.18569638751785,405.71245442235875,0.5106712750105309,-208.0533845495887,-9827.884052405883,6039.680000000018,15867.5640524059,0.3806305731650258,-10097.254052405882,-2080.5338454958874,2041.4471666253803,4121.981012121268
L3-5,R7G_NO_K3P_SHORT,1073,572,1266.0,-177.67114991923097,207.18569638751785,384.8568463067488,0.5383448375045438,-186.92283996503124,-9373.232802799377,6039.680000000018,15412.912802799396,0.39185844215656956,-9637.222802799377,-1869.2283996503124,2041.4471666253803,3910.6755662756927
L6-8,R4_BASE,599,360,734.0,283.3140959508347,389.5928871910535,106.27879124021877,3.6657632500775095,278.95322075672584,7701.297266563775,13840.090000000018,6138.792733436243,2.254529612087572,7547.607266563776,2789.5322075672584,3869.6732239931,1080.1410164258405
L6-8,R7G_ALL,599,360,886.0,406.3243802088872,529.7108674322549,123.38648722336771,4.293102748547451,400.9525800624046,10137.970589462699,17115.110000000022,6977.139410537321,2.4530268055346136,9954.920589462701,4009.525800624046,5263.071484200425,1253.5456835763805
L6-8,R7G_NO_K3P_SHORT,599,360,862.0,409.11529791329065,527.7082607181737,118.59296280488306,4.449743460633445,403.88541658928153,10213.0905894627,17037.970000000023,6824.879410537322,2.4964499700454965,10034.7405894627,4038.854165892815,5243.664563235936,1204.8103973431218
L9-11,R4_BASE,315,194,412.0,306.32533484693414,343.49034415278766,37.165009305853545,9.24230480681428,304.18805580257936,16417.743627060343,18621.110000000015,2203.3663729396694,8.451209126495042,16332.413627060343,3041.8805580257936,3419.044374073239,377.1638160474455
L9-11,R7G_ALL,315,194,488.0,421.2248987589294,460.36889076441935,39.14399200549,11.760908051990507,418.310571989896,19229.143627060344,21554.99000000002,2325.846372939667,9.267589747450254,19125.353627060347,4183.10571989896,4582.598693969814,399.4929740708541
L9-11,R7G_NO_K3P_SHORT,315,194,480.0,419.51947100813584,458.134595567387,38.61512455925118,11.864123210697501,416.6685175633229,19200.363627060342,21512.45000000002,2312.086372939668,9.304345309837338,19097.853627060344,4166.685175633229,4560.766482812337,394.0813071791081
