policy,children,active_children,units,net_R,gross_R,loss_R,PF_R,spread_adj_R,price_pnl,gross_price_profit,gross_price_loss,PF_price,spread_adj_price_pnl,fixed_1pct_net_usd,fixed_1pct_gross_profit_usd,fixed_1pct_gross_loss_usd
R4_BASE,2840,1649,3095.0,485.0697747979367,1317.7965173616817,832.7267425637451,1.5825077423411853,463.88858167397314,23234.648989916277,57591.940000000046,34357.29101008377,1.676265453614983,22590.758989916278,4638.885816739731,13101.148614773647,8462.262798033915
R7G_ALL,2840,1649,3881.0,741.0108654450728,1828.1110654284116,1087.1001999833388,1.681639894332123,712.8646294095711,30883.72317216699,73194.16000000006,42310.43682783308,1.7299315603343224,30074.67317216699,7128.646294095711,18177.629422643335,11048.983128547627
R7G_NO_K3P_SHORT,2840,1649,3815.0,754.4165620266933,1815.3387620296985,1060.9222000030054,1.7110950850350346,726.7537109779873,30194.87442177349,71884.64000000006,41689.76557822657,1.724275466723743,29397.6244217735,7267.537109779873,18051.067839356918,10783.530729577047
