comparison,observed_delta_R,boot_q025,boot_q975,p_delta_gt0
R7G_ALL,255.94109064713612,100.01752260777657,433.2624441285736,0.99965
R7G_NO_K3P_SHORT,269.34678722875645,118.36648485827538,442.20807578738487,0.9999
R7G_NO_K3P_SHORT_vs_R7G_ALL,13.405696581620347,-10.663538690474292,32.693464027748874,0.8855
