model,quarter,events,units,R,pnl,PF_R,DD_R,mean_R_unit,stop_unit_rate,right3_ret,right5_ret,max_run_units,max_concurrent_units
R4,ALL,837,1651,268.5846764665783,18878.261102481676,1.6228618339700722,53.107157155683126,0.16267999785982937,0.09993943064809206,0.532258064516129,0.3333333333333333,44,44
R4,2025Q2,246,496,60.94254150166172,3612.221798938925,1.452139902494204,43.609184206535694,0.12286802722109218,0.10887096774193548,0.7777777777777778,0.6666666666666666,44,44
R4,2025Q4,227,439,98.33866999331266,2796.860934526604,1.825277830295481,31.04469937383996,0.2240060819893227,0.11845102505694761,0.8333333333333334,1.0,22,21
R4,2026Q1,204,416,99.60434380310568,11260.769106750819,1.9709869222897063,31.929840245827478,0.23943351875746557,0.08413461538461539,0.35714285714285715,0.21428571428571427,25,25
R4,2026Q2,160,300,9.699121168498205,1208.4092622653288,1.129867075012267,25.785468066642615,0.03233040389499402,0.08,0.14285714285714285,0.0,22,22
R6B_STAGE_META,ALL,739,1557,158.8675706016464,15102.11450276872,1.3597542204789572,66.63484719160459,0.10203440629521285,0.13102119460500963,0.3709677419354839,0.19047619047619047,37,37
R6B_STAGE_META,2025Q2,196,410,-3.9425762390186954,1819.363805142851,0.9696771435144194,54.31207411224523,-0.009616039607362672,0.17804878048780487,0.4444444444444444,0.0,37,37
R6B_STAGE_META,2025Q4,197,441,74.74708770180776,1968.1374199730071,1.532934331086092,66.63484719160459,0.169494529936072,0.16099773242630386,0.6111111111111112,1.0,33,33
R6B_STAGE_META,2026Q1,200,406,81.45900129424798,10884.271242241672,1.8329723110982326,20.280576153249314,0.20063793422228568,0.07881773399014778,0.25,0.07142857142857142,23,23
R6B_STAGE_META,2026Q2,146,300,6.604057844609358,430.3420354111895,1.0898126830836163,31.133512615993332,0.022013526148697858,0.09333333333333334,0.14285714285714285,0.5,24,24
R6C_META_CLS,ALL,749,1583,235.56690133146964,18729.86189013781,1.5453243499862774,51.302828977991865,0.14881042408810463,0.12065698041692988,0.41935483870967744,0.23809523809523808,37,37
R6C_META_CLS,2025Q2,192,404,29.415135813512435,2418.461192511938,1.2605029641510417,35.69099387876883,0.07280974211265455,0.14356435643564355,0.5555555555555556,0.3333333333333333,37,37
R6C_META_CLS,2025Q4,197,427,88.03278934164943,2555.6674199730087,1.6994992886671283,51.30282897799182,0.2061657830015209,0.1405152224824356,0.6666666666666666,1.0,34,34
R6C_META_CLS,2026Q1,209,435,111.02439722993495,13161.351242241668,1.9809041636221658,25.484890470385324,0.2552284993791608,0.09195402298850575,0.2857142857142857,0.14285714285714285,24,24
R6C_META_CLS,2026Q2,151,317,7.0945789463728275,594.3820354111981,1.0886577062500313,30.913527680184135,0.022380375225150875,0.10410094637223975,0.14285714285714285,0.0,25,25
R6D_ROLE_HYBRID,ALL,763,1591,240.66286339309866,20241.775508044164,1.5527291823935356,54.932555626932896,0.1512651561238835,0.11187932118164676,0.45161290322580644,0.23809523809523808,39,39
R6D_ROLE_HYBRID,2025Q2,207,443,35.24840923132875,2845.98179893892,1.2774878453412783,50.62525932509672,0.07956751519487303,0.12415349887133183,0.5555555555555556,0.3333333333333333,39,39
R6D_ROLE_HYBRID,2025Q4,208,428,66.07092302397679,1666.8853400891016,1.5087780133395143,53.21521851048129,0.15437131547658128,0.1378504672897196,0.7222222222222222,1.0,22,21
R6D_ROLE_HYBRID,2026Q1,199,415,128.2761270186898,14661.249106750813,2.2752504134353644,19.400303846843414,0.30909910124985496,0.0819277108433735,0.32142857142857145,0.14285714285714285,23,23
R6D_ROLE_HYBRID,2026Q2,149,305,11.067404119103308,1067.6592622653266,1.142016397929203,30.845523078429085,0.03628657088230593,0.09836065573770492,0.14285714285714285,0.0,22,22
R6E_SPECIALIST_META,ALL,777,1675,221.14024763841303,17389.89591553846,1.419242865244223,60.13818443259527,0.1320240284408436,0.1701492537313433,0.5161290322580645,0.42857142857142855,35,35
R6E_SPECIALIST_META,2025Q2,184,380,17.216680828624654,2194.7195972525215,1.1407154076487702,41.90946524809864,0.04530705481217014,0.18157894736842106,0.5555555555555556,0.3333333333333333,35,35
R6E_SPECIALIST_META,2025Q4,204,448,73.61661591942985,2107.9752939638993,1.5129767328194321,60.13818443259527,0.16432280339158448,0.17857142857142858,0.6111111111111112,1.0,34,34
R6E_SPECIALIST_META,2026Q1,217,457,145.14352035799715,13350.187482997491,2.1016226849849575,28.52938035426527,0.31760070100218196,0.1400437636761488,0.42857142857142855,0.2857142857142857,28,28
R6E_SPECIALIST_META,2026Q2,172,390,-14.83656946763864,-262.98645867545633,0.885750585291381,46.44653283324734,-0.03804248581445805,0.18461538461538463,0.5714285714285714,1.0,22,22
R6F_RESIDUAL,ALL,967,2435,190.17087064794597,18114.93655893819,1.2330873025875229,98.11570617910074,0.07809892018396139,0.18973305954825462,0.5645161290322581,0.2857142857142857,46,46
R6F_RESIDUAL,2025Q2,260,648,-23.30039789491254,2295.8781830915186,0.9058536833797753,85.89314735627929,-0.035957404158815646,0.2330246913580247,0.7777777777777778,0.3333333333333333,46,46
R6F_RESIDUAL,2025Q4,282,696,93.01345249672725,2855.566791065812,1.3959654753469586,98.1157061791007,0.13364001795506789,0.1910919540229885,0.8333333333333334,1.0,46,46
R6F_RESIDUAL,2026Q1,225,577,162.9592765298947,14357.734738513582,2.097889566135199,27.409982798368617,0.2824250893065766,0.1195840554592721,0.39285714285714285,0.14285714285714285,27,27
R6F_RESIDUAL,2026Q2,200,514,-42.50146048376341,-1394.2431537327234,0.7703299724559799,74.9394302524829,-0.08268766631082375,0.21206225680933852,0.2857142857142857,0.5,28,28
