policy,units,net_R,gross_R,loss_R,PF_R,DD_R,price_pnl,gross_price_profit,gross_price_loss,PF_price,top1_net_conc,top5_net_conc
R4_BASE,3095.0,485.0697747979367,1317.7965173616817,832.7267425637451,1.5825077423411853,50.31687046354034,23234.648989916277,57591.940000000046,34357.29101008377,1.676265453614983,0.16037958081447098,0.5818421902208895
R7G_ALL,3881.0,741.0108654450728,1828.1110654284116,1087.1001999833388,1.681639894332123,59.711323708339364,30883.72317216699,73194.16000000006,42310.43682783308,1.7299315603343224,0.14724537371513077,0.5436286077382891
R7G_NO_K3P_SHORT,3815.0,754.4165620266933,1815.3387620296985,1060.9222000030054,1.7110950850350346,57.96647356200185,30194.87442177349,71884.64000000006,41689.76557822657,1.724275466723743,0.14462887919150905,0.5226546227378538
