stage,direction,upgraded_children,added_units,wins,losses,gross_profit,gross_loss,net_delta_pnl,pf,avg_delta_per_child,max_gain,max_loss
k1,LONG,151,302.0,59,92,5255.680000000005,3429.159999999997,1826.5200000000077,1.5326435628550459,12.096158940397402,305.85999999999876,-130.09999999999945
k1,SHORT,34,68.0,10,24,1894.8000000000002,758.5800000000008,1136.2199999999993,2.497824883334649,33.41823529411763,1608.6800000000003,-139.13999999999942
k2,LONG,42,84.0,20,22,2301.0400000000054,657.6294340460563,1643.4105659539491,3.4989918043097425,39.12882299890355,353.97999999999956,-115.6200000000008
k2,SHORT,20,40.0,8,12,388.3200000000015,310.9399999999987,77.38000000000284,1.248858300636789,3.869000000000142,126.0600000000004,-48.19999999999982
k3p,LONG,113,226.0,59,54,4452.860000000004,2176.1651340967474,2276.694865903257,2.046195819531975,20.147742176135015,347.2600000000002,-162.2845176807332
k3p,SHORT,33,66.0,10,23,1309.5200000000013,620.6712496065038,688.8487503934975,2.109844786318389,20.874204557378714,1189.8400000000001,-64.71999999999935
