policy,max_concurrent_units,time_of_max,event_p95_units,event_mean_units
R4_BASE,40.0,2025-04-11 20:00:00,14.0,3.9214675560946026
R7G_ALL,48.0,2025-04-11 20:00:00,17.149999999999636,4.84990903577926
R7G_NO_K3P_SHORT,48.0,2025-04-11 20:00:00,17.0,4.776531231049121
