stage,direction,policy,children,active_children,units,net_R,gross_R,loss_R,PF_R,spread_adj_R,price_pnl,gross_price_profit,gross_price_loss,PF_price,spread_adj_price_pnl,fixed_1pct_net_usd,fixed_1pct_gross_profit_usd,fixed_1pct_gross_loss_usd
k1,LONG,R4_BASE,425,410,620.0,158.88997735813604,362.02613448487733,203.13615712674127,1.782184617478025,153.3461805633971,5069.8900000000085,11797.90000000001,6728.01,1.75354971232207,4937.630000000009,1533.461805633971,3601.18393129164,2067.722125657669
k1,LONG,R7G_ALL,425,410,922.0,267.5024399605811,595.4416095769502,327.93916961636904,1.8157074992704039,258.8007656083853,6896.410000000016,17053.580000000016,10157.169999999998,1.6789696342583633,6698.150000000017,2588.007656083853,5923.273376479472,3335.265720395618
k1,LONG,R7G_NO_K3P_SHORT,425,410,922.0,267.5024399605811,595.4416095769502,327.93916961636904,1.8157074992704039,258.8007656083853,6896.410000000016,17053.580000000016,10157.169999999998,1.6789696342583633,6698.150000000017,2588.007656083853,5923.273376479472,3335.265720395618
k1,SHORT,R4_BASE,420,216,420.0,4.15039487241021,151.56202220289822,147.411627330488,1.0281551390997488,1.1600666108984559,103.5600000000045,5645.030000000006,5541.470000000001,1.018688182016686,16.1000000000046,11.600666108984559,1507.2143610109438,1495.6136949019592
k1,SHORT,R7G_ALL,420,216,488.0,12.1471704776418,184.51042508877623,172.36325461113444,1.0704742464108536,8.422970817820024,1239.7800000000038,7539.830000000006,6300.050000000001,1.1967889143736963,1136.9600000000044,84.22970817820024,1834.5712511067345,1750.3415429285346
k1,SHORT,R7G_NO_K3P_SHORT,420,216,488.0,12.1471704776418,184.51042508877623,172.36325461113444,1.0704742464108536,8.422970817820024,1239.7800000000038,7539.830000000006,6300.050000000001,1.1967889143736963,1136.9600000000044,84.22970817820024,1834.5712511067345,1750.3415429285346
k2,LONG,R4_BASE,325,152,306.0,83.43968395399918,158.84403356814994,75.40434961415076,2.1065632736170494,81.04312492049442,3069.9502956281444,5835.680000000002,2765.729704371858,2.10999650138457,3008.550295628145,810.4312492049442,1578.8238811506262,768.3926319456818
k2,LONG,R7G_ALL,325,152,390.0,148.9470015466441,245.00419253113984,96.05719098449572,2.5506075080905206,145.7727297585243,4713.360861582094,8136.7200000000075,3423.3591384179144,2.3768233688038776,4634.100861582094,1457.727297585243,2437.0760144540695,979.3487168688264
k2,LONG,R7G_NO_K3P_SHORT,325,152,390.0,148.9470015466441,245.00419253113984,96.05719098449572,2.5506075080905206,145.7727297585243,4713.360861582094,8136.7200000000075,3423.3591384179144,2.3768233688038776,4634.100861582094,1457.727297585243,2437.0760144540695,979.3487168688264
k2,SHORT,R4_BASE,295,177,327.0,1.4923902025777487,98.15765221704358,96.66526201446581,1.0154387436756178,-0.8579827117956178,335.53878667373147,4456.2300000000005,4120.691213326269,1.0814277919171917,267.83878667373153,-8.579827117956178,975.4249889803593,984.0048160983155
k2,SHORT,R7G_ALL,295,177,367.0,2.939426241801005,114.26474312026897,111.32531687846799,1.026403933303059,0.15360010963465776,412.9187866737343,4844.550000000002,4431.631213326268,1.0931753493909995,337.79878667373436,1.5360010963465776,1135.1301487759129,1133.594147679566
k2,SHORT,R7G_NO_K3P_SHORT,295,177,367.0,2.939426241801005,114.26474312026897,111.32531687846799,1.026403933303059,0.15360010963465776,412.9187866737343,4844.550000000002,4431.631213326268,1.0931753493909995,337.79878667373436,1.5360010963465776,1135.1301487759129,1133.594147679566
k3p,LONG,R4_BASE,821,421,881.0,265.51927626317985,421.430118920219,155.91084265703913,2.7030199551114547,260.28125500098054,11042.269968842767,18336.110000000022,7293.840031157254,2.5139172125620064,10859.309968842768,2602.8125500098054,4188.070868999226,1585.2583189894203
k3p,LONG,R7G_ALL,821,421,1107.0,351.30247165239143,550.3412357440694,199.03876409167793,2.7649952422864743,344.6877073936249,13318.964834746024,22788.97000000003,9470.005165254002,2.4064369134257797,13089.284834746024,3446.877073936249,5470.586465199882,2023.7093912636328
k3p,LONG,R7G_NO_K3P_SHORT,821,421,1107.0,351.30247165239143,550.3412357440694,199.03876409167793,2.7649952422864743,344.6877073936249,13318.964834746024,22788.97000000003,9470.005165254002,2.4064369134257797,13089.284834746024,3446.877073936249,5470.586465199882,2023.7093912636328
k3p,SHORT,R4_BASE,554,273,541.0,-28.421947852366262,125.77655596849388,154.19850382086014,0.8156794836000133,-31.08406271000186,3613.4399387716207,11520.990000000005,7907.550061228385,1.4569607414170826,3501.329938771621,-310.8406271000186,1250.4305833408505,1561.2712104408693
k3p,SHORT,R7G_ALL,554,273,607.0,-41.827644433986606,138.548859367207,180.37650380119362,0.768109240657597,-44.97314427841815,4302.288689165118,12830.510000000007,8528.22131083489,1.5044766701468182,4178.378689165119,-449.73144278418147,1376.992166627268,1826.7236094114492
k3p,SHORT,R7G_NO_K3P_SHORT,554,273,541.0,-28.421947852366262,125.77655596849388,154.19850382086014,0.8156794836000133,-31.08406271000186,3613.4399387716207,11520.990000000005,7907.550061228385,1.4569607414170826,3501.329938771621,-310.8406271000186,1250.4305833408505,1561.2712104408693
