N,PnL,PF,WR,Avg,AvgWin,AvgLoss,DD,Max,Min,policy,child_bucket
65,-281.5399999999979,0.6503216831855348,0.15384615384615385,-4.331384615384583,52.360000000000056,-14.638909090909063,577.8499999999988,394.10000000000036,-35.86000000000058,ALL_OPEN_HA1,1
55,-421.6700000000012,0.5559405210724735,0.3090909090909091,-7.666727272727295,31.05352941176471,-24.988947368421087,421.6700000000012,171.69999999999982,-122.0600000000004,ALL_OPEN_HA1,2
50,721.4299999999998,2.4242872936902735,0.54,14.428599999999996,45.47962962962969,-22.022608695652252,202.71999999999935,384.77000000000044,-98.35000000000036,ALL_OPEN_HA1,3
132,13844.999999999998,39.407123834886846,0.8181818181818182,104.88636363636363,131.53222222222217,-15.019999999999982,54.31999999999971,1213.83,-54.32000000000015,ALL_OPEN_HA1,4+
65,-546.9399999999973,0.4136829467004003,0.06153846153846154,-8.414461538461497,96.47500000000014,-15.292459016393408,659.4299999999976,287.75,-50.82999999999993,ALL_OPEN_HA2,1
55,-902.0900000000006,0.3862331264968429,0.23636363636363636,-16.401636363636374,43.666923076923084,-34.99428571428573,902.0900000000006,203.65999999999985,-122.0600000000004,ALL_OPEN_HA2,2
50,627.5900000000024,2.12541916973012,0.52,12.551800000000048,45.58615384615397,-23.235416666666698,279.1799999999994,308.09000000000015,-98.35000000000036,ALL_OPEN_HA2,3
132,12924.01,30.478604990648215,0.7803030303030303,97.90916666666666,129.73233009708744,-15.117931034482776,58.24000000000069,1213.83,-50.61999999999988,ALL_OPEN_HA2,4+
65,-281.5399999999979,0.6503216831855348,0.15384615384615385,-4.331384615384583,52.360000000000056,-14.638909090909063,577.8499999999988,394.10000000000036,-35.86000000000058,ANCHOR_ONLY_HA1,1
55,-883.3900000000008,0.3276785850191019,0.23636363636363636,-16.061636363636378,33.11923076923066,-31.284285714285698,883.3900000000008,150.01999999999998,-122.0600000000004,ANCHOR_ONLY_HA1,2
50,354.3000000000002,1.5550333677977246,0.5,7.086000000000004,39.70560000000006,-25.53360000000005,259.22999999999956,264.21000000000004,-102.36000000000058,ANCHOR_ONLY_HA1,3
132,12984.469999999998,29.715903310701716,0.7878787878787878,98.36719696969695,129.19846153846152,-16.148928571428574,54.31999999999971,1213.83,-54.32000000000015,ANCHOR_ONLY_HA1,4+
65,-546.9399999999973,0.4136829467004003,0.06153846153846154,-8.414461538461497,96.47500000000014,-15.292459016393408,659.4299999999976,287.75,-50.82999999999993,ANCHOR_ONLY_HA2,1
55,-1119.6700000000005,0.29663668115687086,0.2,-20.357636363636374,42.92818181818178,-36.17909090909091,1119.6700000000005,166.0,-122.0600000000004,ANCHOR_ONLY_HA2,2
50,292.97000000000116,1.4383350539371917,0.5,5.859400000000023,38.45360000000008,-26.734800000000032,295.39999999999964,225.8699999999999,-114.53000000000065,ANCHOR_ONLY_HA2,3
132,12541.490000000002,26.016935290832176,0.7727272727272727,95.0112878787879,127.87068627450984,-16.710666666666686,58.24000000000069,1213.83,-50.61999999999988,ANCHOR_ONLY_HA2,4+
65,-952.3299999999977,0.26927651215788057,0.06153846153846154,-14.651230769230732,87.73500000000013,-21.365081967213083,989.4999999999977,287.75,-108.38999999999942,BASE,1
55,-1509.7499999999995,0.19091206276560954,0.10909090909090909,-27.449999999999992,59.37333333333326,-38.08142857142855,1509.7499999999995,154.8399999999997,-122.0600000000004,BASE,2
50,-355.15999999999985,0.6530827537704154,0.42,-7.1031999999999975,31.838095238095278,-35.302068965517265,487.25,116.61999999999988,-217.78999999999996,BASE,3
132,11347.98,18.789033107599682,0.7575757575757576,85.96954545454545,119.859,-19.935000000000016,85.5,1213.83,-85.49999999999999,BASE,4+
