N,PnL,PF,WR,Avg,AvgWin,AvgLoss,DD,Max,Min,policy,role,changed
295,4194.360000000002,2.3311794240302666,0.43728813559322033,14.218169491525432,56.93968992248061,-18.98108433734938,292.9399999999987,592.9399999999996,-166.57999999999993,BASE,ANCHOR_CHILD,0
844,4336.379999999999,1.8360221480184777,0.7322274881516587,5.137890995260663,15.409870550161811,-22.950973451327425,268.0500000000002,200.21000000000004,-146.19999999999982,BASE,CONTINUATION_CHILD,0
295,7837.460000000001,5.253755807390044,0.5627118644067797,26.567661016949156,58.31289156626505,-14.282790697674404,154.09999999999945,592.9399999999996,-58.98000000000002,ANCHOR_ONLY_HA1,ANCHOR_CHILD,211
844,4336.379999999999,1.8360221480184777,0.7322274881516587,5.137890995260663,15.409870550161811,-22.950973451327425,268.0500000000002,200.21000000000004,-146.19999999999982,ANCHOR_ONLY_HA1,CONTINUATION_CHILD,0
295,7837.460000000001,5.253755807390044,0.5627118644067797,26.567661016949156,58.31289156626505,-14.282790697674404,154.09999999999945,592.9399999999996,-58.98000000000002,ALL_OPEN_HA1,ANCHOR_CHILD,211
844,6025.7599999999975,2.6032353332446445,0.7535545023696683,7.139526066350708,15.384056603773582,-18.069711538461544,172.15999999999985,200.21000000000004,-146.19999999999982,ALL_OPEN_HA1,CONTINUATION_CHILD,109
295,6831.470000000004,4.056887031385646,0.511864406779661,23.157525423728828,60.041390728476834,-15.519305555555535,207.52999999999975,592.9399999999996,-58.98000000000002,ANCHOR_ONLY_HA2,ANCHOR_CHILD,168
844,4336.379999999999,1.8360221480184777,0.7322274881516587,5.137890995260663,15.409870550161811,-22.950973451327425,268.0500000000002,200.21000000000004,-146.19999999999982,ANCHOR_ONLY_HA2,CONTINUATION_CHILD,0
295,6831.470000000004,4.056887031385646,0.511864406779661,23.157525423728828,60.041390728476834,-15.519305555555535,207.52999999999975,592.9399999999996,-58.98000000000002,ALL_OPEN_HA2,ANCHOR_CHILD,168
844,5271.100000000002,2.226476117791595,0.75,6.245379146919434,15.116682464454977,-20.368530805687193,198.5600000000004,200.21000000000004,-146.19999999999982,ALL_OPEN_HA2,CONTINUATION_CHILD,79
