market,N,WR,avg_positive_R,EV_R,net_R,max_DD_R,max_loss_streak
BTCUSD#,13.0,0.3076923076923077,1.0,-0.34656488323227674,-4.5053434820195974,5.5053434820195974,4.0
GOLD#,10.0,0.6,0.7062165455489033,0.06890287518685387,0.6890287518685387,1.0,1.0
USDJPY#,19.0,0.47368421052631576,1.2228308921206161,0.12547566096535376,2.3840375583417215,4.769161094856916,3.0
