module,N,WR,avg_positive_R,EV_R,net_R,max_DD_R,max_loss_streak
H,8.0,0.25,2.625,-0.09375,-0.75,3.0,3.0
L1,15.0,0.26666666666666666,0.7706185567010544,-0.4429138760465464,-6.643708140698196,7.643708140698196,5.0
L2,19.0,0.6842105263157895,0.839254082736519,0.31375952467836105,5.96143096888886,2.0,2.0
