market,triggers,direct,one_reneg,menv_eligible,menv_state_valid,menv_HH,H_auth,H_fills,L1_auth,L2_auth,accepted_fills,resolved,censored,WR,avg_positive_R,EV_R,net_R,max_DD_R,max_loss_streak
BTCUSD#,101,43,26,39,19,7,2,1,6,5,12,12,0,0.4166666666666667,1.0,-0.12544529016829978,-1.5053434820195974,3.5053434820195974,3
GOLD#,67,26,26,24,4,3,0,0,1,9,10,10,0,0.6,0.7062165455489033,0.06890287518685387,0.6890287518685387,1.0,1
USDJPY#,76,39,21,37,17,4,2,2,10,6,18,18,0,0.4444444444444444,0.746571795698102,-0.11501637092153343,-2.0702946765876016,5.94058966628551,3
