module,N,WR,avg_positive_R,EV_R,net_R
H,3.0,0.0,,-1.0,-3.0
L1,17.0,0.35294117647058826,0.7165950938839148,-0.3192124590705251,-5.426611804198926
L2,20.0,0.65,0.839254082736519,0.2770001198730133,5.540002397460266
