stage,direction,source,year,spearman,top25_meanR,top25_pf
k1,LONG,q10,2025,0.08310864707934884,0.20665868360442757,1.4072124654750104
k1,LONG,q10,2026,0.17781488582647872,0.10101116632688502,1.7821372601618022
k1,SHORT,q50,2025,0.2871983610166594,-0.064316073602288,1.0878839762312411
k1,SHORT,q50,2026,0.06036441100092986,-0.06221203457165825,0.60602265128276
k2,LONG,q50,2025,0.2560866714124958,0.22160189533235283,2.417032442515656
k2,LONG,q50,2026,0.11609127462504085,0.09676486593045967,2.0204561590344468
k2,SHORT,q10,2025,0.2472443480838495,-0.08195459550096298,0.5387740819222778
k2,SHORT,q10,2026,0.17657226864238956,0.12178717218181696,1.2939594264391092
k3p,LONG,q50,2025,0.2169951908128986,0.24824876313969574,2.3193186589383283
k3p,LONG,q50,2026,0.28653375245394946,0.2891891887723982,3.284808521455922
k3p,SHORT,q50,2025,0.2122427822320505,-0.09816017916445506,0.6005282140516045
k3p,SHORT,q50,2026,0.20600850931108908,0.2981120749744344,3.156547421780036
