head,stage,direction,phase,family,preprocess,recency,score,params
survival,k2,SHORT,family,lgb,raw,expanding,0.7611802338305238,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,SHORT,family,xgb,raw,expanding,0.7645290334889294,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k2,SHORT,family,cat,raw,expanding,0.7636093034483733,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k2,SHORT,family,lgb,eng,expanding,0.7409258331836749,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,SHORT,family,xgb,eng,expanding,0.7490561380471923,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k2,SHORT,family,cat,eng,expanding,0.7370741366412954,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k2,SHORT,family,lgb,eng_rank,expanding,0.7431463138524315,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k2,SHORT,family,xgb,eng_rank,expanding,0.7559609473466822,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k2,SHORT,family,cat,eng_rank,expanding,0.7523755535536208,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k2,SHORT,hparam,xgb,raw,expanding,0.7628056904914751,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k2,SHORT,hparam,xgb,raw,expanding,0.6276558690351793,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k2,SHORT,recency,xgb,raw,expanding,0.7628056904914751,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k2,SHORT,recency,xgb,raw,roll730,0.7628056904914751,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k2,SHORT,recency,xgb,raw,exp365,0.6280041797283176,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k2,SHORT,recency,xgb,raw,exp730,0.6284395680947406,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k2,SHORT,prune,xgb,top16,roll730,0.7620098443601165,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k2,SHORT,prune,xgb,top38,roll730,0.7630527485477455,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
