idx,year,head,stage,direction,pred,actual,decision
1761,2023,survival,k1,SHORT,0.506456,0,2023-04-20 08:00:00
1766,2023,survival,k1,SHORT,0.4725652,1,2023-04-21 04:00:00
1772,2023,survival,k1,SHORT,0.5747069,0,2023-04-24 08:00:00
1779,2023,survival,k1,SHORT,0.64460945,1,2023-04-25 12:00:00
1784,2023,survival,k1,SHORT,0.47657087,0,2023-04-26 08:00:00
1787,2023,survival,k1,SHORT,0.87847614,1,2023-04-26 20:00:00
1792,2023,survival,k1,SHORT,0.8088728,1,2023-04-27 16:00:00
1795,2023,survival,k1,SHORT,0.51556766,0,2023-04-28 04:00:00
1797,2023,survival,k1,SHORT,0.83490086,1,2023-04-28 12:00:00
1800,2023,survival,k1,SHORT,0.83833474,1,2023-05-01 04:00:00
1805,2023,survival,k1,SHORT,0.70390916,1,2023-05-02 00:00:00
1814,2023,survival,k1,SHORT,0.46992064,1,2023-05-03 12:00:00
1819,2023,survival,k1,SHORT,0.8333591,1,2023-05-04 08:00:00
1826,2023,survival,k1,SHORT,0.88896,1,2023-05-05 12:00:00
1834,2023,survival,k1,SHORT,0.83696675,1,2023-05-09 00:00:00
1842,2023,survival,k1,SHORT,0.7723004,1,2023-05-10 08:00:00
1845,2023,survival,k1,SHORT,0.8377417,1,2023-05-10 20:00:00
1849,2023,survival,k1,SHORT,0.8706308,0,2023-05-11 12:00:00
1851,2023,survival,k1,SHORT,0.8863,1,2023-05-11 20:00:00
1863,2023,survival,k1,SHORT,0.5165767,1,2023-05-16 00:00:00
1866,2023,survival,k1,SHORT,0.78136104,1,2023-05-16 12:00:00
1872,2023,survival,k1,SHORT,0.8172007,1,2023-05-17 12:00:00
1885,2023,survival,k1,SHORT,0.5414644,0,2023-05-19 16:00:00
1888,2023,survival,k1,SHORT,0.5953496,1,2023-05-22 08:00:00
1903,2023,survival,k1,SHORT,0.8816414,1,2023-05-24 20:00:00
1908,2023,survival,k1,SHORT,0.82407296,1,2023-05-25 16:00:00
1914,2023,survival,k1,SHORT,0.71274924,1,2023-05-26 16:00:00
1920,2023,survival,k1,SHORT,0.66834676,1,2023-05-29 20:00:00
1929,2023,survival,k1,SHORT,0.4732278,1,2023-05-31 08:00:00
1936,2023,survival,k1,SHORT,0.8875043,0,2023-06-01 12:00:00
1943,2023,survival,k1,SHORT,0.76332694,1,2023-06-02 16:00:00
1953,2023,survival,k1,SHORT,0.45494938,0,2023-06-06 12:00:00
1959,2023,survival,k1,SHORT,0.751964,1,2023-06-07 12:00:00
1970,2023,survival,k1,SHORT,0.45179188,1,2023-06-09 08:00:00
1973,2023,survival,k1,SHORT,0.7458187,1,2023-06-09 20:00:00
1978,2023,survival,k1,SHORT,0.88205284,1,2023-06-12 20:00:00
1983,2023,survival,k1,SHORT,0.4773048,1,2023-06-13 16:00:00
1991,2023,survival,k1,SHORT,0.8933654,1,2023-06-15 00:00:00
2002,2023,survival,k1,SHORT,0.8718948,1,2023-06-16 20:00:00
2010,2023,survival,k1,SHORT,0.5214655,0,2023-06-20 08:00:00
2012,2023,survival,k1,SHORT,0.83578926,1,2023-06-20 16:00:00
2021,2023,survival,k1,SHORT,0.52446055,1,2023-06-22 04:00:00
2036,2023,survival,k1,SHORT,0.88038284,1,2023-06-26 20:00:00
2041,2023,survival,k1,SHORT,0.56771964,1,2023-06-27 16:00:00
2049,2023,survival,k1,SHORT,0.75501144,1,2023-06-29 00:00:00
2058,2023,survival,k1,SHORT,0.8768455,0,2023-06-30 12:00:00
2061,2023,survival,k1,SHORT,0.49105763,0,2023-07-03 04:00:00
2063,2023,survival,k1,SHORT,0.8957627,0,2023-07-03 12:00:00
2066,2023,survival,k1,SHORT,0.60482824,1,2023-07-04 00:00:00
2071,2023,survival,k1,SHORT,0.5924426,1,2023-07-04 20:00:00
2074,2023,survival,k1,SHORT,0.4730446,1,2023-07-05 08:00:00
2076,2023,survival,k1,SHORT,0.80015004,1,2023-07-05 20:00:00
2081,2023,survival,k1,SHORT,0.7662695,1,2023-07-06 16:00:00
2089,2023,survival,k1,SHORT,0.46166927,1,2023-07-10 04:00:00
2099,2023,survival,k1,SHORT,0.50223297,1,2023-07-11 20:00:00
2103,2023,survival,k1,SHORT,0.562385,0,2023-07-12 12:00:00
2110,2023,survival,k1,SHORT,0.57819474,1,2023-07-13 16:00:00
2115,2023,survival,k1,SHORT,0.88896,1,2023-07-14 12:00:00
2121,2023,survival,k1,SHORT,0.7496777,1,2023-07-17 16:00:00
2131,2023,survival,k1,SHORT,0.63599813,0,2023-07-19 08:00:00
2134,2023,survival,k1,SHORT,0.47622153,0,2023-07-19 20:00:00
2139,2023,survival,k1,SHORT,0.7812866,1,2023-07-20 16:00:00
2143,2023,survival,k1,SHORT,0.5396016,1,2023-07-21 08:00:00
2151,2023,survival,k1,SHORT,0.7823909,1,2023-07-24 20:00:00
2156,2023,survival,k1,SHORT,0.699765,0,2023-07-25 16:00:00
2160,2023,survival,k1,SHORT,0.44882014,0,2023-07-26 08:00:00
2163,2023,survival,k1,SHORT,0.50464696,0,2023-07-26 20:00:00
2168,2023,survival,k1,SHORT,0.82781804,1,2023-07-27 16:00:00
2176,2023,survival,k1,SHORT,0.6022431,1,2023-07-31 04:00:00
2182,2023,survival,k1,SHORT,0.7527385,1,2023-08-01 04:00:00
2189,2023,survival,k1,SHORT,0.58113617,0,2023-08-02 08:00:00
2191,2023,survival,k1,SHORT,0.64421064,1,2023-08-02 16:00:00
2197,2023,survival,k1,SHORT,0.5314511,0,2023-08-03 16:00:00
2199,2023,survival,k1,SHORT,0.52446055,0,2023-08-04 00:00:00
2202,2023,survival,k1,SHORT,0.53932977,0,2023-08-04 12:00:00
2206,2023,survival,k1,SHORT,0.8875043,1,2023-08-07 08:00:00
2212,2023,survival,k1,SHORT,0.710718,1,2023-08-08 08:00:00
2220,2023,survival,k1,SHORT,0.8933654,1,2023-08-09 16:00:00
2227,2023,survival,k1,SHORT,0.75218254,1,2023-08-10 20:00:00
2233,2023,survival,k1,SHORT,0.6337778,1,2023-08-11 20:00:00
2237,2023,survival,k1,SHORT,0.8117759,1,2023-08-14 16:00:00
2245,2023,survival,k1,SHORT,0.7055495,1,2023-08-16 00:00:00
2249,2023,survival,k1,SHORT,0.63105977,1,2023-08-16 16:00:00
2256,2023,survival,k1,SHORT,0.8946364,1,2023-08-17 20:00:00
2260,2023,survival,k1,SHORT,0.49209917,1,2023-08-18 12:00:00
2265,2023,survival,k1,SHORT,0.68582666,0,2023-08-21 12:00:00
2273,2023,survival,k1,SHORT,0.68318903,0,2023-08-22 20:00:00
2284,2023,survival,k1,SHORT,0.88099825,1,2023-08-24 16:00:00
2287,2023,survival,k1,SHORT,0.6526705,1,2023-08-25 04:00:00
2291,2023,survival,k1,SHORT,0.8627595,1,2023-08-25 20:00:00
2294,2023,survival,k1,SHORT,0.46957386,0,2023-08-28 12:00:00
2301,2023,survival,k1,SHORT,0.8933788,0,2023-08-29 16:00:00
2306,2023,survival,k1,SHORT,0.49056256,0,2023-08-30 12:00:00
2309,2023,survival,k1,SHORT,0.7085009,0,2023-08-31 00:00:00
2312,2023,survival,k1,SHORT,0.47260594,0,2023-08-31 12:00:00
2314,2023,survival,k1,SHORT,0.8572917,1,2023-08-31 20:00:00
2320,2023,survival,k1,SHORT,0.82594365,1,2023-09-01 20:00:00
2324,2023,survival,k1,SHORT,0.8608594,1,2023-09-04 16:00:00
2335,2023,survival,k1,SHORT,0.6587292,1,2023-09-06 12:00:00
2343,2023,survival,k1,SHORT,0.61425364,1,2023-09-07 20:00:00
2348,2023,survival,k1,SHORT,0.66035223,1,2023-09-08 16:00:00
2354,2023,survival,k1,SHORT,0.6366595,1,2023-09-11 20:00:00
2363,2023,survival,k1,SHORT,0.6972977,1,2023-09-13 08:00:00
