stage,direction,year,alpha,coverage,pinball,n
k1,LONG,2024,0.1,0.2936170212765957,0.12213064032036511,235
k1,LONG,2024,0.5,0.4425531914893617,0.49903699206987345,235
k1,LONG,2024,0.9,0.8297872340425532,0.4228441975499264,235
k1,LONG,2025,0.1,0.24537037037037038,0.1383117636211326,216
k1,LONG,2025,0.5,0.4212962962962963,0.52686080852923,216
k1,LONG,2025,0.9,0.8055555555555556,0.4554920270084966,216
k1,LONG,2026,0.1,0.23333333333333334,0.1137165991405048,150
k1,LONG,2026,0.5,0.4666666666666667,0.42605990328057003,150
k1,LONG,2026,0.9,0.88,0.3331153402293202,150
