stage,direction,year,alpha,coverage,pinball,n
k1,SHORT,2024,0.1,0.30638297872340425,0.09859896044168637,235
k1,SHORT,2024,0.5,0.5872340425531914,0.3858619534600937,235
k1,SHORT,2024,0.9,0.9063829787234042,0.38104328526640147,235
k1,SHORT,2025,0.1,0.28837209302325584,0.08628605149569425,215
k1,SHORT,2025,0.5,0.4930232558139535,0.31249945052669165,215
k1,SHORT,2025,0.9,0.8976744186046511,0.23289001527786757,215
k1,SHORT,2026,0.1,0.3287671232876712,0.11599840006535765,146
k1,SHORT,2026,0.5,0.5136986301369864,0.486229087313766,146
k1,SHORT,2026,0.9,0.8561643835616438,0.39056784242521253,146
