scope,events,units,pnl,R,pf,wr,ddR
ALL,1336,2582,23704.511024441803,491.5943476564487,1.7575451452676722,0.3884730538922156,53.10715715568301
2025,851,1655,9484.210555108524,351.00207155671956,1.6460453702405995,0.3854289071680376,43.609184206535446
2026,485,927,14220.300469333282,140.59227609972916,1.8560871427175107,0.3938144329896907,53.107157155682856
LONG,868,1704,18608.280714280965,487.7163962225012,2.0656711929214557,0.42857142857142855,39.51125287228837
SHORT,468,878,5096.230310160843,3.877951433947473,1.3685000516610766,0.3141025641025641,68.43055830885694
k1,517,779,4245.31000000002,140.3619124110594,1.401655513537501,0.3655705996131528,26.782861143865347
k2,264,578,4172.04644758548,102.96727701801942,1.6323645669158628,0.35984848484848486,12.476451063946683
k3p,555,1225,15287.154576856306,248.2651582273699,2.082341146700135,0.42342342342342343,41.82575099893721
