variant,removed_events,removed_units,events,units,pnl,R,pf,wr,ddR
BASE,0,0.0,1336,2582.0,23704.511024441803,491.5943476564487,1.7575451452676722,0.3884730538922156,53.10715715568301
K1_SEV_Q95,2,2.0,1334,2580.0,23696.941024441803,490.91482899020025,1.7573792255815222,0.38830584707646176,53.10715715568301
K1_SURV_Q25,82,94.0,1254,2488.0,22556.111024441805,434.992941862135,1.737454629565295,0.3883572567783094,50.44620174841418
K2_PERSIST_Q25,24,54.0,1312,2528.0,23308.86102444181,442.34001800455525,1.7572537733028275,0.3879573170731707,49.74074413252572
SEV_PLUS_K2,26,56.0,1310,2526.0,23301.29102444181,441.66049933830686,1.7570850721508007,0.38778625954198476,49.74074413252572
K1SURV_PLUS_K2,106,148.0,1230,2434.0,22160.461024441807,385.7386122102415,1.7368154601431818,0.3878048780487805,47.07978872525689
ALL_THREE,108,150.0,1228,2432.0,22152.891024441808,385.0590935439932,1.736640671325816,0.38762214983713356,47.07978872525689
