stage,direction,phase,family,preprocess,recency,score,lift,params
k1,SHORT,family_preproc,lgb,eng,expanding,-0.0147736225608592,-0.1276774728991375,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k1,SHORT,family_preproc,xgb,eng,expanding,-0.0438189853908303,-0.1970950020869488,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k1,SHORT,family_preproc,cat,eng,expanding,-0.0092225613988417,-0.0891622033844257,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k1,SHORT,family_preproc,lgb,eng_rank,expanding,-0.0730766224626529,-0.190566661787622,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k1,SHORT,family_preproc,xgb,eng_rank,expanding,-0.0201704079017846,-0.162224047569691,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k1,SHORT,family_preproc,cat,eng_rank,expanding,-0.0095629855363622,0.0513338236674073,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k1,SHORT,hparam,cat,raw,expanding,0.026042601196967,-0.1286789204202769,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k1,SHORT,hparam,cat,raw,expanding,0.0668706766416742,-0.0152380106112543,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k1,SHORT,recency,cat,raw,expanding,0.0668706766416742,-0.0152380106112543,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k1,SHORT,recency,cat,raw,roll730,0.0668706766416742,-0.0152380106112543,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k1,SHORT,recency,cat,raw,exp365,0.0517016245926254,-0.034418497492447,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k1,SHORT,recency,cat,raw,exp730,0.0476479541622155,0.0475365301416785,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k1,SHORT,prune,cat,top8,expanding,0.12061090322669,0.0269241967293837,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k1,SHORT,prune,cat,top16,expanding,0.075687710197594,-0.0126692260137339,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k1,SHORT,prune,cat,top24,expanding,0.0585466869344139,0.0334623864269842,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k1,SHORT,prune,cat,top38,expanding,0.0526744554377472,-0.0340197057244313,"{""iterations"": 220, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 25, ""random_strength"": 0.3}"
k2,LONG,family_preproc,lgb,raw,expanding,0.1107438347971172,0.5776670577260087,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k2,LONG,family_preproc,xgb,raw,expanding,0.1229330429499142,0.1655266721085339,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,family_preproc,cat,raw,expanding,0.0766665149215274,0.2138784641943601,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k2,LONG,family_preproc,lgb,eng,expanding,0.0205950566216631,0.0111282676808657,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k2,LONG,family_preproc,xgb,eng,expanding,0.08620196173382,0.0363574638080802,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,family_preproc,cat,eng,expanding,0.0354382474579735,-0.1441104823581576,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
