idx,year,head,stage,direction,pred,actual,decision
1789,2023,severe,k1,LONG,0.43811432,1,2023-04-27 04:00:00
1794,2023,severe,k1,LONG,0.37347707,0,2023-04-28 00:00:00
1796,2023,severe,k1,LONG,0.5039611,1,2023-04-28 08:00:00
1799,2023,severe,k1,LONG,0.35528222,1,2023-04-28 20:00:00
1803,2023,severe,k1,LONG,0.32567754,1,2023-05-01 16:00:00
1809,2023,severe,k1,LONG,0.5315383,0,2023-05-02 16:00:00
1816,2023,severe,k1,LONG,0.33881956,0,2023-05-03 20:00:00
1822,2023,severe,k1,LONG,0.27299765,1,2023-05-04 20:00:00
1836,2023,severe,k1,LONG,0.61668503,0,2023-05-09 08:00:00
1844,2023,severe,k1,LONG,0.30977947,1,2023-05-10 16:00:00
1847,2023,severe,k1,LONG,0.38708356,1,2023-05-11 04:00:00
1850,2023,severe,k1,LONG,0.32044172,1,2023-05-11 16:00:00
1856,2023,severe,k1,LONG,0.2938844,1,2023-05-12 16:00:00
1859,2023,severe,k1,LONG,0.51223105,0,2023-05-15 08:00:00
1865,2023,severe,k1,LONG,0.48751685,1,2023-05-16 08:00:00
1871,2023,severe,k1,LONG,0.4537801,1,2023-05-17 08:00:00
1883,2023,severe,k1,LONG,0.62955505,0,2023-05-19 08:00:00
1886,2023,severe,k1,LONG,0.31166604,0,2023-05-19 20:00:00
1897,2023,severe,k1,LONG,0.28668398,1,2023-05-23 20:00:00
1907,2023,severe,k1,LONG,0.6158176,1,2023-05-25 12:00:00
1912,2023,severe,k1,LONG,0.37549186,0,2023-05-26 08:00:00
1917,2023,severe,k1,LONG,0.6052554,1,2023-05-29 08:00:00
1924,2023,severe,k1,LONG,0.5049376,0,2023-05-30 12:00:00
1931,2023,severe,k1,LONG,0.38940448,1,2023-05-31 16:00:00
1937,2023,severe,k1,LONG,0.44155067,0,2023-06-01 16:00:00
1949,2023,severe,k1,LONG,0.28668398,0,2023-06-05 20:00:00
1954,2023,severe,k1,LONG,0.4435235,1,2023-06-06 16:00:00
1964,2023,severe,k1,LONG,0.46254364,0,2023-06-08 08:00:00
1972,2023,severe,k1,LONG,0.57240623,1,2023-06-09 16:00:00
1976,2023,severe,k1,LONG,0.35105088,1,2023-06-12 12:00:00
1980,2023,severe,k1,LONG,0.5325589,1,2023-06-13 04:00:00
1987,2023,severe,k1,LONG,0.47443599,1,2023-06-14 08:00:00
1996,2023,severe,k1,LONG,0.35707873,0,2023-06-15 20:00:00
2009,2023,severe,k1,LONG,0.53930706,1,2023-06-20 04:00:00
2011,2023,severe,k1,LONG,0.39631775,1,2023-06-20 12:00:00
2020,2023,severe,k1,LONG,0.2665743,0,2023-06-22 00:00:00
2028,2023,severe,k1,LONG,0.52710944,1,2023-06-23 08:00:00
2032,2023,severe,k1,LONG,0.44155067,0,2023-06-26 04:00:00
2039,2023,severe,k1,LONG,0.37614724,1,2023-06-27 08:00:00
2048,2023,severe,k1,LONG,0.4080052,1,2023-06-28 20:00:00
2054,2023,severe,k1,LONG,0.34210745,1,2023-06-29 20:00:00
2059,2023,severe,k1,LONG,0.3297584,0,2023-06-30 16:00:00
2062,2023,severe,k1,LONG,0.4421959,1,2023-07-03 08:00:00
2064,2023,severe,k1,LONG,0.3382439,0,2023-07-03 16:00:00
2068,2023,severe,k1,LONG,0.60206634,0,2023-07-04 08:00:00
2073,2023,severe,k1,LONG,0.5085138,1,2023-07-05 04:00:00
2075,2023,severe,k1,LONG,0.31435233,1,2023-07-05 16:00:00
2079,2023,severe,k1,LONG,0.54466724,1,2023-07-06 08:00:00
2083,2023,severe,k1,LONG,0.439643,0,2023-07-07 00:00:00
2093,2023,severe,k1,LONG,0.3425139,0,2023-07-10 20:00:00
2101,2023,severe,k1,LONG,0.61948204,0,2023-07-12 04:00:00
2104,2023,severe,k1,LONG,0.23651275,0,2023-07-12 16:00:00
2112,2023,severe,k1,LONG,0.5438265,1,2023-07-14 00:00:00
2120,2023,severe,k1,LONG,0.57715046,1,2023-07-17 12:00:00
2123,2023,severe,k1,LONG,0.25845212,0,2023-07-18 00:00:00
2132,2023,severe,k1,LONG,0.51391345,1,2023-07-19 12:00:00
2135,2023,severe,k1,LONG,0.32299915,0,2023-07-20 00:00:00
2142,2023,severe,k1,LONG,0.6398061,1,2023-07-21 04:00:00
2150,2023,severe,k1,LONG,0.35528222,1,2023-07-24 16:00:00
2154,2023,severe,k1,LONG,0.29130447,1,2023-07-25 08:00:00
2157,2023,severe,k1,LONG,0.3963203,0,2023-07-25 20:00:00
2161,2023,severe,k1,LONG,0.40742856,0,2023-07-26 12:00:00
2164,2023,severe,k1,LONG,0.23651275,1,2023-07-27 00:00:00
2172,2023,severe,k1,LONG,0.35388324,0,2023-07-28 08:00:00
2179,2023,severe,k1,LONG,0.32567754,0,2023-07-31 16:00:00
2188,2023,severe,k1,LONG,0.29514313,0,2023-08-02 04:00:00
2190,2023,severe,k1,LONG,0.5110421,1,2023-08-02 12:00:00
2196,2023,severe,k1,LONG,0.5088927,1,2023-08-03 12:00:00
2198,2023,severe,k1,LONG,0.41835743,0,2023-08-03 20:00:00
2200,2023,severe,k1,LONG,0.5556199,1,2023-08-04 04:00:00
2203,2023,severe,k1,LONG,0.26433694,0,2023-08-04 16:00:00
2211,2023,severe,k1,LONG,0.59598655,1,2023-08-08 04:00:00
2218,2023,severe,k1,LONG,0.5250631,1,2023-08-09 08:00:00
2224,2023,severe,k1,LONG,0.5204576,1,2023-08-10 08:00:00
2231,2023,severe,k1,LONG,0.3849991,1,2023-08-11 12:00:00
2236,2023,severe,k1,LONG,0.58868897,1,2023-08-14 12:00:00
2244,2023,severe,k1,LONG,0.24501853,0,2023-08-15 20:00:00
2247,2023,severe,k1,LONG,0.5397556,1,2023-08-16 08:00:00
