idx,year,head,stage,direction,pred,actual,decision
1331,2023,survival,k2,SHORT,0.42023417,0,2023-01-05 00:00:00
1334,2023,survival,k2,SHORT,0.73964745,1,2023-01-05 12:00:00
1348,2023,survival,k2,SHORT,0.53053445,0,2023-01-10 00:00:00
1359,2023,survival,k2,SHORT,0.80779344,1,2023-01-11 20:00:00
1375,2023,survival,k2,SHORT,0.7269652,1,2023-01-16 16:00:00
1379,2023,survival,k2,SHORT,0.7595524,1,2023-01-17 08:00:00
1383,2023,survival,k2,SHORT,0.42023417,1,2023-01-18 00:00:00
1389,2023,survival,k2,SHORT,0.53346366,1,2023-01-19 00:00:00
1400,2023,survival,k2,SHORT,0.51930314,0,2023-01-20 20:00:00
1404,2023,survival,k2,SHORT,0.72148126,1,2023-01-23 16:00:00
1411,2023,survival,k2,SHORT,0.45887122,0,2023-01-24 20:00:00
1415,2023,survival,k2,SHORT,0.51092625,1,2023-01-25 12:00:00
1422,2023,survival,k2,SHORT,0.53346366,1,2023-01-26 16:00:00
1427,2023,survival,k2,SHORT,0.42009053,0,2023-01-27 12:00:00
1433,2023,survival,k2,SHORT,0.42009053,1,2023-01-30 16:00:00
1438,2023,survival,k2,SHORT,0.80596024,0,2023-01-31 12:00:00
1444,2023,survival,k2,SHORT,0.6652413,0,2023-02-01 12:00:00
1452,2023,survival,k2,SHORT,0.80779344,1,2023-02-02 20:00:00
1463,2023,survival,k2,SHORT,0.7930429,1,2023-02-06 20:00:00
1471,2023,survival,k2,SHORT,0.42009053,0,2023-02-08 04:00:00
1475,2023,survival,k2,SHORT,0.57933813,1,2023-02-08 20:00:00
1482,2023,survival,k2,SHORT,0.80596024,1,2023-02-10 00:00:00
1489,2023,survival,k2,SHORT,0.6939106,1,2023-02-13 08:00:00
1499,2023,survival,k2,SHORT,0.43694717,0,2023-02-15 00:00:00
1502,2023,survival,k2,SHORT,0.80596024,1,2023-02-15 12:00:00
1509,2023,survival,k2,SHORT,0.6858564,0,2023-02-16 16:00:00
1513,2023,survival,k2,SHORT,0.80596024,1,2023-02-17 08:00:00
1522,2023,survival,k2,SHORT,0.5113435,0,2023-02-21 00:00:00
1525,2023,survival,k2,SHORT,0.80596024,1,2023-02-21 12:00:00
1534,2023,survival,k2,SHORT,0.7573973,1,2023-02-23 00:00:00
1538,2023,survival,k2,SHORT,0.6369209,1,2023-02-23 16:00:00
1544,2023,survival,k2,SHORT,0.80596024,1,2023-02-24 16:00:00
1548,2023,survival,k2,SHORT,0.4202531,0,2023-02-27 12:00:00
1553,2023,survival,k2,SHORT,0.7979672,1,2023-02-28 08:00:00
1565,2023,survival,k2,SHORT,0.5819758,1,2023-03-02 08:00:00
1578,2023,survival,k2,SHORT,0.5078545,1,2023-03-06 16:00:00
1584,2023,survival,k2,SHORT,0.80596024,1,2023-03-07 16:00:00
1593,2023,survival,k2,SHORT,0.4445243,0,2023-03-09 04:00:00
1611,2023,survival,k2,SHORT,0.7573973,1,2023-03-14 08:00:00
1617,2023,survival,k2,SHORT,0.7269652,1,2023-03-15 08:00:00
1622,2023,survival,k2,SHORT,0.70463985,0,2023-03-16 04:00:00
1627,2023,survival,k2,SHORT,0.42009053,0,2023-03-17 00:00:00
1637,2023,survival,k2,SHORT,0.69702935,0,2023-03-20 20:00:00
1642,2023,survival,k2,SHORT,0.80779344,1,2023-03-21 16:00:00
1658,2023,survival,k2,SHORT,0.48783785,1,2023-03-24 08:00:00
1675,2023,survival,k2,SHORT,0.80596024,1,2023-03-29 12:00:00
1679,2023,survival,k2,SHORT,0.7955691,1,2023-03-30 04:00:00
1697,2023,survival,k2,SHORT,0.80779344,1,2023-04-04 08:00:00
1707,2023,survival,k2,SHORT,0.41722718,1,2023-04-06 00:00:00
1712,2023,survival,k2,SHORT,0.56633407,1,2023-04-06 20:00:00
1730,2023,survival,k2,SHORT,0.42009053,0,2023-04-13 00:00:00
1740,2023,survival,k2,SHORT,0.76100016,1,2023-04-14 16:00:00
1746,2023,survival,k2,SHORT,0.7573973,1,2023-04-17 20:00:00
1756,2023,survival,k2,SHORT,0.80596024,1,2023-04-19 12:00:00
1767,2023,survival,k2,SHORT,0.793649,1,2023-04-21 08:00:00
1780,2023,survival,k2,SHORT,0.58332634,0,2023-04-25 16:00:00
1788,2023,survival,k2,SHORT,0.53346366,0,2023-04-27 00:00:00
1793,2023,survival,k2,SHORT,0.7772492,0,2023-04-27 20:00:00
1798,2023,survival,k2,SHORT,0.42009053,0,2023-04-28 16:00:00
1801,2023,survival,k2,SHORT,0.64439565,1,2023-05-01 08:00:00
1806,2023,survival,k2,SHORT,0.4907777,1,2023-05-02 04:00:00
1815,2023,survival,k2,SHORT,0.7032968,0,2023-05-03 16:00:00
1820,2023,survival,k2,SHORT,0.7573973,1,2023-05-04 12:00:00
1827,2023,survival,k2,SHORT,0.80779344,1,2023-05-05 16:00:00
1835,2023,survival,k2,SHORT,0.63200074,0,2023-05-09 04:00:00
1843,2023,survival,k2,SHORT,0.66680527,0,2023-05-10 12:00:00
1846,2023,survival,k2,SHORT,0.42009053,0,2023-05-11 00:00:00
1852,2023,survival,k2,SHORT,0.69467384,1,2023-05-12 00:00:00
1858,2023,survival,k2,SHORT,0.5577603,0,2023-05-15 04:00:00
1864,2023,survival,k2,SHORT,0.52535665,0,2023-05-16 04:00:00
1867,2023,survival,k2,SHORT,0.567412,1,2023-05-16 16:00:00
1873,2023,survival,k2,SHORT,0.72462374,1,2023-05-17 16:00:00
1889,2023,survival,k2,SHORT,0.43694717,1,2023-05-22 12:00:00
1904,2023,survival,k2,SHORT,0.74524677,1,2023-05-25 00:00:00
1909,2023,survival,k2,SHORT,0.6142449,1,2023-05-25 20:00:00
1915,2023,survival,k2,SHORT,0.7214703,1,2023-05-26 20:00:00
1921,2023,survival,k2,SHORT,0.5863709,1,2023-05-30 00:00:00
1930,2023,survival,k2,SHORT,0.7269652,0,2023-05-31 12:00:00
1944,2023,survival,k2,SHORT,0.80779344,1,2023-06-02 20:00:00
1960,2023,survival,k2,SHORT,0.72148126,1,2023-06-07 16:00:00
