scope,events,units,pnl,R,pf,wr,ddR
ALL,1299,2549,17120.778099168765,560.203536813324,1.6199033878368685,0.38645111624326406,82.06069037647256
2025,841,1627,5377.840542449316,353.50374085815196,1.4228992633133641,0.38287752675386444,82.06069037647256
2026,458,922,11742.93755671945,206.69979595517202,1.788018115280248,0.3930131004366812,69.37731317418573
LONG,866,1758,11400.127789007922,511.14160912730927,1.7223705017474493,0.41570438799076215,56.96040637139123
SHORT,433,791,5720.650310160847,49.061927686014684,1.4832891742911132,0.3279445727482679,57.37445905629607
k1,364,618,2327.660000000023,165.81630466220773,1.2817833389423867,0.3708791208791209,25.646202000101937
k2,242,472,4108.145004217065,145.2652660285562,1.9357439068122977,0.39669421487603307,14.35624684848517
k3p,693,1459,10684.973094951678,249.12196612256008,1.713866022994257,0.39105339105339104,108.76850176982515
