stage,direction,year,alpha,coverage,pinball,n
k3p,SHORT,2024,0.1,0.3218390804597701,0.08609115427373104,261
k3p,SHORT,2024,0.5,0.5977011494252874,0.28960129547676217,261
k3p,SHORT,2024,0.9,0.8697318007662835,0.2865510930727266,261
k3p,SHORT,2025,0.1,0.3134920634920635,0.07319900878444344,252
k3p,SHORT,2025,0.5,0.6190476190476191,0.26823467269137385,252
k3p,SHORT,2025,0.9,0.9087301587301587,0.17926562103284197,252
k3p,SHORT,2026,0.1,0.22784810126582278,0.12678154846439876,237
k3p,SHORT,2026,0.5,0.4177215189873418,0.5248916529699365,237
k3p,SHORT,2026,0.9,0.8185654008438819,0.5738144457320393,237
