stage,direction,source,spearman2024,lift2024,all_candidates
k1,LONG,q10,0.0836451136917284,-0.3141979434763304,q10:0.0836/-0.3142;q50:0.0334/-0.2673;mean:0.0076/0.5757;q90:-0.0605/0.0305
k1,SHORT,q50,0.1700584350435568,0.005137229561280557,q50:0.1701/0.0051;q10:0.1534/-0.1808;mean:0.0685/-0.1750;q90:-0.1413/-0.3730
k2,LONG,q50,0.18498918192723254,0.11427967693335328,q50:0.1850/0.1143;q10:0.1578/0.0000;mean:0.0825/0.5609;q90:0.0223/0.5200
k2,SHORT,q10,0.24389485535560307,-0.06498848902467402,q10:0.2439/-0.0650;q50:0.1641/-0.0226;mean:0.1485/0.0744;q90:-0.0049/-0.0049
k3p,LONG,q50,0.19385282461296144,-0.1624844831468518,q50:0.1939/-0.1625;q10:0.1809/-0.1686;mean:0.0804/0.0530;q90:-0.2203/0.1548
k3p,SHORT,q50,0.3714483772432523,0.06471229411650604,q50:0.3714/0.0647;q10:0.3297/-0.0360;mean:0.0665/-0.2457;q90:-0.0850/-0.2250
