idx,year,head,stage,direction,pred,actual,decision
1325,2023,survival,k2,LONG,0.8467744944672415,1,2023-01-04 00:00:00
1340,2023,survival,k2,LONG,0.31321514973507864,1,2023-01-06 12:00:00
1350,2023,survival,k2,LONG,0.5424807705884948,1,2023-01-10 08:00:00
1354,2023,survival,k2,LONG,0.8076368916924199,0,2023-01-11 00:00:00
1357,2023,survival,k2,LONG,0.867970927560356,0,2023-01-11 12:00:00
1362,2023,survival,k2,LONG,0.8506763212125482,1,2023-01-12 08:00:00
1370,2023,survival,k2,LONG,0.404628401846097,1,2023-01-13 16:00:00
1387,2023,survival,k2,LONG,0.8932686671305591,0,2023-01-18 16:00:00
1392,2023,survival,k2,LONG,0.6396554803008236,1,2023-01-19 12:00:00
1401,2023,survival,k2,LONG,0.8333995185557332,1,2023-01-23 04:00:00
1407,2023,survival,k2,LONG,0.8472026809181223,1,2023-01-24 04:00:00
1413,2023,survival,k2,LONG,0.541702647843332,0,2023-01-25 04:00:00
1418,2023,survival,k2,LONG,0.867970927560356,1,2023-01-26 00:00:00
1440,2023,survival,k2,LONG,0.8932686671305591,1,2023-01-31 20:00:00
1448,2023,survival,k2,LONG,0.867970927560356,1,2023-02-02 04:00:00
1461,2023,survival,k2,LONG,0.31321514973507864,0,2023-02-06 12:00:00
1466,2023,survival,k2,LONG,0.8470522319909759,1,2023-02-07 08:00:00
1473,2023,survival,k2,LONG,0.867970927560356,0,2023-02-08 12:00:00
1479,2023,survival,k2,LONG,0.770344037035542,1,2023-02-09 12:00:00
1486,2023,survival,k2,LONG,0.5994622825226277,0,2023-02-10 16:00:00
1495,2023,survival,k2,LONG,0.8081496682015951,1,2023-02-14 08:00:00
1506,2023,survival,k2,LONG,0.813092241027273,1,2023-02-16 04:00:00
1511,2023,survival,k2,LONG,0.3716473239905358,0,2023-02-17 00:00:00
1516,2023,survival,k2,LONG,0.867970927560356,1,2023-02-17 20:00:00
1530,2023,survival,k2,LONG,0.43867350101426017,0,2023-02-22 08:00:00
1542,2023,survival,k2,LONG,0.31321514973507864,0,2023-02-24 08:00:00
1550,2023,survival,k2,LONG,0.8650290029337745,1,2023-02-27 20:00:00
1557,2023,survival,k2,LONG,0.3716473239905358,1,2023-03-01 00:00:00
1569,2023,survival,k2,LONG,0.8076368916924199,1,2023-03-03 00:00:00
1590,2023,survival,k2,LONG,0.4431024244497063,1,2023-03-08 16:00:00
1595,2023,survival,k2,LONG,0.7673291833577681,1,2023-03-09 12:00:00
1602,2023,survival,k2,LONG,0.8945639973772463,1,2023-03-10 16:00:00
1615,2023,survival,k2,LONG,0.404628401846097,0,2023-03-15 00:00:00
1620,2023,survival,k2,LONG,0.7877215752845046,0,2023-03-15 20:00:00
1624,2023,survival,k2,LONG,0.8467744944672415,1,2023-03-16 12:00:00
1629,2023,survival,k2,LONG,0.867970927560356,1,2023-03-17 08:00:00
1639,2023,survival,k2,LONG,0.6485825807216207,1,2023-03-21 04:00:00
1648,2023,survival,k2,LONG,0.4684813152377974,1,2023-03-22 16:00:00
1667,2023,survival,k2,LONG,0.8110074542203061,1,2023-03-28 04:00:00
1671,2023,survival,k2,LONG,0.867970927560356,1,2023-03-28 20:00:00
1682,2023,survival,k2,LONG,0.8277275708650382,1,2023-03-30 16:00:00
1693,2023,survival,k2,LONG,0.8932686671305591,1,2023-04-03 16:00:00
1700,2023,survival,k2,LONG,0.867970927560356,1,2023-04-04 20:00:00
1719,2023,survival,k2,LONG,0.8081496682015951,1,2023-04-11 04:00:00
1732,2023,survival,k2,LONG,0.6310378265743536,1,2023-04-13 08:00:00
1744,2023,survival,k2,LONG,0.8506004404769131,0,2023-04-17 12:00:00
1749,2023,survival,k2,LONG,0.7671811852678897,1,2023-04-18 08:00:00
1759,2023,survival,k2,LONG,0.785568121439756,1,2023-04-20 00:00:00
1763,2023,survival,k2,LONG,0.8675918444360919,1,2023-04-20 16:00:00
1774,2023,survival,k2,LONG,0.7323651298485764,1,2023-04-24 16:00:00
1782,2023,survival,k2,LONG,0.8660147797262233,1,2023-04-26 00:00:00
