head,stage,direction,phase,family,preprocess,recency,score,params
survival,k1,LONG,family,lgb,raw,expanding,0.64957232872766,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k1,LONG,family,xgb,raw,expanding,0.668027436323216,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k1,LONG,family,cat,raw,expanding,0.6288428359314984,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k1,LONG,family,lgb,eng,expanding,0.6382386776445479,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k1,LONG,family,xgb,eng,expanding,0.6394334949486165,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k1,LONG,family,cat,eng,expanding,0.6051607954298386,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k1,LONG,family,lgb,eng_rank,expanding,0.6488193999036106,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
survival,k1,LONG,family,xgb,eng_rank,expanding,0.634447195784595,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k1,LONG,family,cat,eng_rank,expanding,0.6143232224130684,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
survival,k1,LONG,hparam,xgb,raw,expanding,0.6691227161876186,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,LONG,hparam,xgb,raw,expanding,0.5793663303909206,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
survival,k1,LONG,recency,xgb,raw,expanding,0.6691227161876186,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,LONG,recency,xgb,raw,roll730,0.6691227161876186,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,LONG,recency,xgb,raw,exp365,0.5791036149642707,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,LONG,recency,xgb,raw,exp730,0.668670777710136,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,LONG,prune,xgb,top16,roll730,0.6731025718028438,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
survival,k1,LONG,prune,xgb,top38,roll730,0.6710820976649128,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
