label,phase,year,train_score_quantile,threshold,test_n,selected_n,coverage,actual_retention,test_base,lift_vs_base,mean_pred,horizon_min
accept_retain_extreme_15,0,2025,0.5,0.3128445681518822,236,117,0.4957627118644068,0.5384615384615384,0.3686440677966102,1.460654288240495,0.41855229416495626,15
accept_retain_extreme_15,0,2025,0.75,0.40519927583413545,236,50,0.211864406779661,0.52,0.3686440677966102,1.410574712643678,0.5100588038650021,15
accept_retain_extreme_15,0,2025,0.9,0.4966475803625027,236,18,0.07627118644067797,0.6111111111111112,0.3686440677966102,1.657726692209451,0.6340813425787439,15
accept_retain_extreme_15,0,2026,0.5,0.34942980385345007,153,76,0.49673202614379086,0.5131578947368421,0.3464052287581699,1.4813803376365444,0.4568260528282944,15
accept_retain_extreme_15,0,2026,0.75,0.43268669170311297,153,40,0.26143790849673204,0.575,0.3464052287581699,1.6599056603773583,0.5160873812647768,15
accept_retain_extreme_15,0,2026,0.9,0.5206581709827072,153,12,0.0784313725490196,0.5,0.3464052287581699,1.4433962264150944,0.6071134740141285,15
accept_retain_extreme_15,2,2025,0.5,0.3343982933182289,235,125,0.5319148936170213,0.568,0.3659574468085106,1.5520930232558139,0.4482424731865118,15
accept_retain_extreme_15,2,2025,0.75,0.4310938157505933,235,60,0.2553191489361702,0.6,0.3659574468085106,1.6395348837209303,0.5256607805575446,15
accept_retain_extreme_15,2,2025,0.9,0.5272294495895737,235,24,0.10212765957446808,0.5,0.3659574468085106,1.366279069767442,0.6133475369031004,15
accept_retain_extreme_15,2,2026,0.5,0.35618781326810106,144,78,0.5416666666666666,0.5,0.3472222222222222,1.44,0.4681251550342647,15
accept_retain_extreme_15,2,2026,0.75,0.45319970293100464,144,34,0.2361111111111111,0.6176470588235294,0.3472222222222222,1.778823529411765,0.5544898510406217,15
accept_retain_extreme_15,2,2026,0.9,0.5529313959512964,144,12,0.08333333333333333,0.5,0.3472222222222222,1.44,0.634085651723315,15
accept_retain_extreme_30,0,2025,0.5,0.2105156916230126,236,121,0.5127118644067796,0.4297520661157025,0.2838983050847458,1.5137535463179967,0.28515337453291456,30
accept_retain_extreme_30,0,2025,0.75,0.2718561855811886,236,56,0.23728813559322035,0.4642857142857143,0.2838983050847458,1.6353944562899787,0.3362574289538216,30
accept_retain_extreme_30,0,2025,0.9,0.3310904435815447,236,21,0.08898305084745763,0.47619047619047616,0.2838983050847458,1.677327647476901,0.4093827597122089,30
accept_retain_extreme_30,0,2026,0.5,0.24968461441333395,153,76,0.49673202614379086,0.4473684210526316,0.27450980392156865,1.6296992481203005,0.3418183110250184,30
accept_retain_extreme_30,0,2026,0.75,0.3197298802381122,153,41,0.2679738562091503,0.3902439024390244,0.27450980392156865,1.4216027874564459,0.39225044352398286,30
accept_retain_extreme_30,0,2026,0.9,0.38772979489998877,153,16,0.10457516339869281,0.375,0.27450980392156865,1.3660714285714284,0.4576195133571445,30
accept_retain_extreme_30,2,2025,0.5,0.22453318115586943,235,122,0.5191489361702127,0.4344262295081967,0.2765957446808511,1.5706179066834802,0.30075087926091454,30
accept_retain_extreme_30,2,2025,0.75,0.2863527398975181,235,59,0.251063829787234,0.4406779661016949,0.2765957446808511,1.5932203389830508,0.3465208138832293,30
accept_retain_extreme_30,2,2025,0.9,0.3448790877648912,235,25,0.10638297872340426,0.4,0.2765957446808511,1.4461538461538461,0.40251195327619227,30
accept_retain_extreme_30,2,2026,0.5,0.24814570927746274,144,79,0.5486111111111112,0.3924050632911392,0.2777777777777778,1.4126582278481012,0.33291312882428564,30
accept_retain_extreme_30,2,2026,0.75,0.31701037886347105,144,37,0.2569444444444444,0.43243243243243246,0.2777777777777778,1.5567567567567568,0.3908017782862762,30
accept_retain_extreme_30,2,2026,0.9,0.38869122577020626,144,13,0.09027777777777778,0.3076923076923077,0.2777777777777778,1.1076923076923078,0.46467148332650093,30
accept_retain_extreme_60,0,2025,0.5,0.15239522219916826,236,119,0.5042372881355932,0.36134453781512604,0.2245762711864407,1.6090058664975424,0.2160155503368264,60
