label,phase,model,year,n,base,auc,brier
reveal_retain_origin_15,0,reveal_path,2025,361,0.7008310249307479,0.5579344166300688,0.21522885405883097
reveal_retain_origin_15,0,reveal_path,2026,211,0.6919431279620853,0.5660695468914647,0.2121111603804618
reveal_retain_origin_15,0,reveal_micro,2025,361,0.7008310249307479,0.5589042599912165,0.21434565989969193
reveal_retain_origin_15,0,reveal_micro,2026,211,0.6919431279620853,0.5694415173867229,0.2118258663176443
reveal_retain_origin_15,0,reveal_geom,2025,361,0.7008310249307479,0.5353169374908505,0.21703289947264154
reveal_retain_origin_15,0,reveal_geom,2026,211,0.6919431279620853,0.5052687038988408,0.21386095704332528
accept_retain_origin_15,0,micro3,2025,236,0.7457627118644068,0.5160984848484848,0.1998792647464845
accept_retain_origin_15,0,micro3,2026,153,0.6993464052287581,0.5426655830963023,0.2094865416388938
accept_retain_origin_15,0,path7,2025,236,0.7457627118644068,0.5043560606060606,0.20353312102525176
accept_retain_origin_15,0,path7,2026,153,0.6993464052287581,0.5707029662738724,0.2086411309513971
accept_retain_origin_15,0,geom,2025,236,0.7457627118644068,0.5854166666666667,0.19824684117726143
accept_retain_origin_15,0,geom,2026,153,0.6993464052287581,0.5800487606663957,0.20825056789169621
accept_retain_extreme_15,0,micro3,2025,236,0.3686440677966102,0.7289979171488081,0.21067250260727566
accept_retain_extreme_15,0,micro3,2026,153,0.3464052287581699,0.7352830188679245,0.19783579366002157
accept_retain_extreme_15,0,path7,2025,236,0.3686440677966102,0.721823651932423,0.20573840811959035
accept_retain_extreme_15,0,path7,2026,153,0.3464052287581699,0.7547169811320754,0.1926585985668022
accept_retain_extreme_15,0,geom,2025,236,0.3686440677966102,0.6145953868703232,0.23475713019425687
accept_retain_extreme_15,0,geom,2026,153,0.3464052287581699,0.5713207547169812,0.22322226511297688
reveal_retain_origin_30,0,reveal_path,2025,361,0.5650969529085873,0.5016860247283628,0.26866083605633023
reveal_retain_origin_30,0,reveal_path,2026,211,0.5592417061611374,0.5421906324038637,0.24873677087345727
reveal_retain_origin_30,0,reveal_micro,2025,361,0.5650969529085873,0.5358436368177844,0.2568062144710071
reveal_retain_origin_30,0,reveal_micro,2026,211,0.5592417061611374,0.5266083470020049,0.2484623997534914
reveal_retain_origin_30,0,reveal_geom,2025,361,0.5650969529085873,0.5038716123392033,0.25789585675102045
reveal_retain_origin_30,0,reveal_geom,2026,211,0.5592417061611374,0.4917076726808821,0.24894005126581567
accept_retain_origin_30,0,micro3,2025,236,0.5847457627118644,0.5003697131026323,0.25672050101282173
accept_retain_origin_30,0,micro3,2026,153,0.5816993464052288,0.5354634831460674,0.24574321531226612
accept_retain_origin_30,0,path7,2025,236,0.5847457627118644,0.5058414670215913,0.2634360940147304
accept_retain_origin_30,0,path7,2026,153,0.5816993464052288,0.5642556179775281,0.24579216996391096
accept_retain_origin_30,0,geom,2025,236,0.5847457627118644,0.5144927536231885,0.2577182205578121
accept_retain_origin_30,0,geom,2026,153,0.5816993464052288,0.5603932584269663,0.24471765768429155
accept_retain_extreme_30,0,micro3,2025,236,0.2838983050847458,0.7221584385763491,0.19137777771178516
