H,phase,year,ext_q75,hist_n
60,0,2025,0.5260403579068684,260
60,0,2026,0.48798364058749333,474
60,2,2025,0.5273676675483848,293
60,2,2026,0.5068366268184311,503
120,0,2025,0.7365008927878423,260
120,0,2026,0.7259886376472212,474
120,2,2025,0.7571998277628936,293
120,2,2026,0.7392463110323246,503
240,0,2025,0.8705705539878279,260
240,0,2026,0.8638953169045919,474
240,2,2025,0.8865093529376619,293
240,2,2026,0.8787078376999562,503
