label,phase,model,year,n,base,auc
closeeq_0.25_30,2,prog1,2026,122,0.48360655737704916,0.5071294054344901
closeeq_0.25_30,2,micro3,2025,202,0.5297029702970297,0.5021151008362027
closeeq_0.25_30,2,micro3,2026,122,0.48360655737704916,0.5063223029324724
closeeq_0.25_30,2,path7,2025,202,0.5297029702970297,0.4763403836694541
closeeq_0.25_30,2,path7,2026,122,0.48360655737704916,0.5178907721280602
closeeq_0.1_60,0,prog1,2025,236,0.5211864406779662,0.5128426505503993
closeeq_0.1_60,0,prog1,2026,153,0.45751633986928103,0.5311531841652324
closeeq_0.1_60,0,micro3,2025,236,0.5211864406779662,0.49097057342254835
closeeq_0.1_60,0,micro3,2026,153,0.45751633986928103,0.5222030981067125
closeeq_0.1_60,0,path7,2025,236,0.5211864406779662,0.6066623498093389
closeeq_0.1_60,0,path7,2026,153,0.45751633986928103,0.43769363166953523
closeeq_0.1_60,2,prog1,2025,235,0.5106382978723404,0.5090579710144927
closeeq_0.1_60,2,prog1,2026,144,0.4513888888888889,0.4864654333008763
closeeq_0.1_60,2,micro3,2025,235,0.5106382978723404,0.4736956521739131
closeeq_0.1_60,2,micro3,2026,144,0.4513888888888889,0.48159688412852975
closeeq_0.1_60,2,path7,2025,235,0.5106382978723404,0.5131884057971015
closeeq_0.1_60,2,path7,2026,144,0.4513888888888889,0.4272638753651412
closeeq_0.15_60,0,prog1,2025,235,0.5319148936170213,0.5491636363636363
closeeq_0.15_60,0,prog1,2026,151,0.46357615894039733,0.5008818342151675
closeeq_0.15_60,0,micro3,2025,235,0.5319148936170213,0.48014545454545454
closeeq_0.15_60,0,micro3,2026,151,0.46357615894039733,0.5052910052910053
closeeq_0.15_60,0,path7,2025,235,0.5319148936170213,0.5307636363636363
closeeq_0.15_60,0,path7,2026,151,0.46357615894039733,0.49153439153439155
closeeq_0.15_60,2,prog1,2025,234,0.5299145299145299,0.4583577712609971
closeeq_0.15_60,2,prog1,2026,144,0.4444444444444444,0.5083984375
closeeq_0.15_60,2,micro3,2025,234,0.5299145299145299,0.45007331378299115
closeeq_0.15_60,2,micro3,2026,144,0.4444444444444444,0.46972656249999994
closeeq_0.15_60,2,path7,2025,234,0.5299145299145299,0.4532991202346041
closeeq_0.15_60,2,path7,2026,144,0.4444444444444444,0.5027343750000001
closeeq_0.25_60,0,prog1,2025,232,0.521551724137931,0.49765467947286135
closeeq_0.25_60,0,prog1,2026,145,0.5241379310344828,0.5072463768115942
closeeq_0.25_60,0,micro3,2025,232,0.521551724137931,0.49564440473531385
closeeq_0.25_60,0,micro3,2026,145,0.5241379310344828,0.5194508009153318
closeeq_0.25_60,0,path7,2025,232,0.521551724137931,0.4796366614548433
closeeq_0.25_60,0,path7,2026,145,0.5241379310344828,0.5061022120518688
closeeq_0.25_60,2,prog1,2025,233,0.5236051502145923,0.5049475705213411
closeeq_0.25_60,2,prog1,2026,139,0.4892086330935252,0.5169842584921293
closeeq_0.25_60,2,micro3,2025,233,0.5236051502145923,0.48508344409983756
closeeq_0.25_60,2,micro3,2026,139,0.4892086330935252,0.5072493786246892
closeeq_0.25_60,2,path7,2025,233,0.5236051502145923,0.4806527839314725
closeeq_0.25_60,2,path7,2026,139,0.4892086330935252,0.5161557580778791
sust_0.1_15,0,prog1,2025,236,0.3601694915254237,0.5123490455784963
sust_0.1_15,0,prog1,2026,151,0.26490066225165565,0.484009009009009
sust_0.1_15,0,micro3,2025,236,0.3601694915254237,0.5121932216595246
sust_0.1_15,0,micro3,2026,151,0.26490066225165565,0.4880630630630631
sust_0.1_15,0,path7,2025,236,0.3601694915254237,0.5353330736268018
sust_0.1_15,0,path7,2026,151,0.26490066225165565,0.47274774774774775
sust_0.1_15,2,prog1,2025,233,0.3562231759656652,0.5449799196787148
sust_0.1_15,2,prog1,2026,142,0.2676056338028169,0.47849190283400805
sust_0.1_15,2,micro3,2025,233,0.3562231759656652,0.5378313253012048
sust_0.1_15,2,micro3,2026,142,0.2676056338028169,0.4868421052631579
sust_0.1_15,2,path7,2025,233,0.3562231759656652,0.5563855421686746
sust_0.1_15,2,path7,2026,142,0.2676056338028169,0.5123987854251012
sust_0.15_15,0,prog1,2025,224,0.36607142857142855,0.49957059429749223
sust_0.15_15,0,prog1,2026,128,0.3125,0.5002840909090909
sust_0.15_15,0,micro3,2025,224,0.36607142857142855,0.46994160082445896
sust_0.15_15,0,micro3,2026,128,0.3125,0.5545454545454545
sust_0.15_15,0,path7,2025,224,0.36607142857142855,0.49184129165235313
sust_0.15_15,0,path7,2026,128,0.3125,0.4965909090909091
sust_0.15_15,2,prog1,2025,220,0.35454545454545455,0.5167027807872878
sust_0.15_15,2,prog1,2026,124,0.28225806451612906,0.5036918138041734
sust_0.15_15,2,micro3,2025,220,0.35454545454545455,0.4809498013723365
sust_0.15_15,2,micro3,2026,124,0.28225806451612906,0.5386837881219904
sust_0.15_15,2,path7,2025,220,0.35454545454545455,0.5051462621885157
sust_0.15_15,2,path7,2026,124,0.28225806451612906,0.5187800963081861
sust_0.25_15,0,prog1,2025,147,0.4217687074829932,0.5328273244781783
sust_0.25_15,0,prog1,2026,92,0.358695652173913,0.438623523369286
sust_0.25_15,0,micro3,2025,147,0.4217687074829932,0.5303605313092978
sust_0.25_15,0,micro3,2026,92,0.358695652173913,0.4422187981510016
sust_0.25_15,0,path7,2025,147,0.4217687074829932,0.46261859582542697
