offset,year,n_train,auc15,mean_p15,base15,level_n,level_hit,fresh_n,fresh_hit,fresh_mean_p
2,2024,26967,0.815282824089764,0.21961709108180846,0.22644063805992112,3346,0.8335325762104004,738,0.8035230352303523,0.8199695633266009
2,2025,40558,0.7649326166471121,0.22129933857695144,0.23404947916666666,2186,0.8101555352241537,576,0.7604166666666666,0.8124353053572553
2,2026,54077,0.7761906548164363,0.20898415358388106,0.21176998094384036,1183,0.8098055790363483,291,0.7731958762886598,0.8187432327434233
