target,valid_steps,change_rate_per_m5,median_abs_pct_change_when_changed,p95_abs_pct_change_when_changed
M5_1.5ATR,330022,1.0,0.0210200598627281,0.06719180915826044
H1_0.5ATR,329868,0.08338790061479137,0.024757269729556868,0.08672384744982509
H4_0.25ATR,329400,0.0218093503339405,0.025073972157468982,0.08404119471872401
D1_0.10ATR,326202,0.0036388495472130765,0.019277605359262217,0.06473634252978991
