H,year,q0,q1,set_coverage,singleton_coverage,singleton_accuracy,both_rate,empty_rate
15,2024,0.007693979689739175,0.9998198171335699,0.8290891283055828,0.34489995802434587,0.5044624746450305,0.6551000419756541,0.0
15,2025,0.01985972386282531,0.9969997048082853,0.6205760137555524,0.6553947556956584,0.4210756449497158,0.3446052443043416,0.0
15,2026,0.21386884398430248,0.9587590271646547,0.7505346449957229,0.6207228400342173,0.5981050818260121,0.3792771599657827,0.0
30,2024,0.026686536046049463,0.9979265793567058,0.7485658318175458,0.452847348537848,0.44477058550903753,0.547152651462152,0.0
30,2025,0.0652462505974367,0.9859780027606002,0.6473706834790085,0.680756555380427,0.4820037886760682,0.319243444619573,0.0
30,2026,0.3842520866269909,0.8992401501301287,0.8045337895637297,0.6465996578272027,0.6977013395071936,0.35340034217279725,0.0
60,2024,0.07332430183532371,0.9886172537406891,0.7501049391353015,0.5074856583181755,0.507582023711056,0.49251434168182456,0.0
60,2025,0.1668326546074068,0.9667177749788937,0.7335578163060611,0.6374838802120648,0.582040908069229,0.36251611978793524,0.0
60,2026,0.5469373888806194,0.8075368828104461,0.8605645851154833,0.7346022241231822,0.8101892285298399,0.2653977758768178,0.0
