universe,policy,sl_arm,block,n,resolved,wins,losses,wr,total_R,mean_R,PF,maxDD,avg_win_R,med_win_R,avg_loss_R,payoff,amb,cens,position_mode
SAME_NEAREST,FLIP_EXIT,FIXED_30,2024,217.0,210.0,73.0,137.0,0.3476190476190476,48.26033333333332,0.22981111111111105,1.521522844833797,26.266666666666595,1.928735159817351,1.4663333333333413,-0.6754549878345496,2.8554606814004133,5.0,2.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_30,2025H1,91.0,80.0,26.0,54.0,0.325,19.64500000000001,0.24556250000000013,1.4183139679317474,21.711666666666623,2.5618205128205127,1.5671666666666701,-0.8696728395061725,2.945729010319783,3.0,8.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_30,2026JF,20.0,16.0,0.0,16.0,0.0,-16.0,-1.0,0.0,15.0,,,-1.0,,0.0,4.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_40,2024,217.0,212.0,76.0,136.0,0.3584905660377358,34.90999999999998,0.16466981132075464,1.4741290035617396,18.394749999999945,1.4281546052631577,1.0635000000000048,-0.5413952205882352,2.6379150590052185,3.0,2.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_40,2025H1,91.0,76.0,27.0,49.0,0.35526315789473684,13.779750000000014,0.18131250000000018,1.3784527921012348,16.168749999999953,1.8589074074074077,1.0460000000000036,-0.7430765306122444,2.501636548628167,2.0,13.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_40,2026JF,20.0,15.0,0.0,15.0,0.0,-15.0,-1.0,0.0,14.0,,,-1.0,,0.0,5.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_50,2024,217.0,212.0,78.0,134.0,0.36792452830188677,29.90839999999999,0.141077358490566,1.5135864712266287,13.097800000000024,1.1300358974358973,0.8189000000000033,-0.43458507462686563,2.600263937748311,3.0,2.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_50,2025H1,91.0,76.0,27.0,49.0,0.35526315789473684,9.284400000000002,0.12216315789473686,1.3007775042114809,13.813799999999969,1.4871259259259253,0.8368000000000029,-0.6299591836734693,2.3606702854208357,0.0,15.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,FIXED_50,2026JF,20.0,13.0,1.0,12.0,0.07692307692307693,-11.567999999999993,-0.8898461538461533,0.03600000000000061,12.0,0.43200000000000727,0.43200000000000727,-1.0,0.43200000000000727,1.0,6.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,H1_STRUCT,2024,217.0,189.0,63.0,126.0,0.3333333333333333,77.82027778164836,0.41174750149020295,1.8016195954950984,28.388058906058035,2.7761760238261255,1.9412269412269456,-0.7704667596777586,3.6032391909901973,26.0,2.0,INDEPENDENT
SAME_NEAREST,FLIP_EXIT,H1_STRUCT,2025H1,91.0,73.0,26.0,47.0,0.3561643835616438,60.585942605475424,0.829944419253088,2.689177041984291,15.470034559232303,3.7097337905270362,2.0319400966418715,-0.7631305520899474,4.861204652817757,5.0,13.0,INDEPENDENT
