idx,ts,arrival_side,ref,before,after,primary,resolution,eligible,topology,d_same,d_opp,next_side,hit,nearest_bsl,nearest_ssl,m1_open,m1_high,m1_low,m1_close,block,ratio_same_opp
18,2024-01-24 17:35:00,DOWN,2016.41,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,14.63000000000011,21.399999999999864,DOWN,True,2037.81,2001.78,2018.32,2018.32,2015.53,2016.16,2024,0.6836448598130935
19,2024-01-25 15:30:00,DOWN,2011.13,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,9.350000000000136,25.449999999999818,UP,False,2036.58,2001.78,2016.84,2017.66,2009.11,2015.13,2024,0.3673870333988292
21,2024-01-29 01:28:00,UP,2026.7,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,9.879999999999882,17.590000000000146,UP,True,2036.58,2009.11,2026.52,2027.6,2026.35,2027.42,2024,0.5616827743035702
22,2024-01-29 15:48:00,UP,2036.58,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,1.2300000000000182,20.679999999999836,UP,True,2037.81,2015.9,2036.0,2037.17,2035.96,2036.3,2024,0.05947775628626827
23,2024-01-30 09:35:00,UP,2039.3,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,19.27000000000021,18.799999999999955,UP,True,2058.57,2020.5,2037.33,2040.28,2037.33,2039.19,2024,1.0250000000000137
24,2024-01-31 16:42:00,UP,2048.55,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,10.019999999999982,19.5300000000002,DOWN,False,2058.57,2029.02,2047.52,2050.31,2047.34,2050.23,2024,0.5130568356374746
26,2024-02-01 18:09:00,UP,2055.96,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,2.6100000000001273,26.940000000000055,UP,True,2058.57,2029.02,2055.29,2055.99,2055.29,2055.85,2024,0.09688195991091766
27,2024-02-01 18:12:00,UP,2058.57,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,3.5799999999999272,29.550000000000182,UP,True,2062.15,2029.02,2058.17,2059.2,2058.17,2058.87,2024,0.12115059221657885
28,2024-02-01 18:43:00,UP,2062.15,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,1.8099999999999454,33.13000000000011,UP,True,2063.96,2029.02,2061.09,2063.24,2061.09,2062.46,2024,0.05463326290371082
29,2024-02-01 18:44:00,UP,2063.96,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,1.9899999999997817,34.940000000000055,DOWN,False,2065.95,2029.02,2062.46,2064.13,2062.41,2064.13,2024,0.05695477962220317
31,2024-02-02 16:03:00,DOWN,2029.02,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,8.519999999999982,36.32999999999993,DOWN,True,2065.35,2020.5,2030.07,2030.18,2027.85,2029.12,2024,0.23451692815854663
32,2024-02-05 08:36:00,DOWN,2027.82,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,7.319999999999936,29.79000000000019,DOWN,True,2057.61,2020.5,2029.0,2029.04,2026.68,2028.3,2024,0.24572004028197011
33,2024-02-05 15:21:00,DOWN,2020.5,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,4.599999999999909,21.589999999999918,DOWN,True,2042.09,2015.9,2021.55,2021.55,2019.72,2020.12,2024,0.21306160259379
34,2024-02-05 15:51:00,DOWN,2015.9,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,6.790000000000191,26.189999999999827,UP,False,2042.09,2009.11,2016.64,2016.7,2015.73,2015.94,2024,0.25925925925926824
36,2024-02-07 16:45:00,UP,2042.09,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,15.52000000000021,19.269999999999982,DOWN,False,2057.61,2022.82,2040.32,2042.67,2040.13,2042.49,2024,0.8053969901401258
38,2024-02-08 15:31:00,DOWN,2022.82,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,7.980000000000018,21.660000000000082,DOWN,True,2044.48,2014.84,2023.97,2023.97,2021.69,2022.51,2024,0.36842105263157837
39,2024-02-12 12:02:00,DOWN,2020.25,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,0.14000000000010004,16.86999999999989,DOWN,True,2037.12,2020.11,2020.34,2020.38,2020.19,2020.23,2024,0.008298755186727977
40,2024-02-12 12:19:00,DOWN,2020.11,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,5.269999999999982,17.00999999999999,DOWN,True,2037.12,2014.84,2020.23,2020.25,2020.09,2020.11,2024,0.3098177542621978
41,2024-02-12 16:22:00,DOWN,2014.84,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,5.730000000000018,22.279999999999973,UP,False,2037.12,2009.11,2015.87,2015.88,2014.81,2015.01,2024,0.25718132854578213
43,2024-02-13 15:42:00,DOWN,2011.85,CHALLENGED,ACTIVE,DOWN,OLD_PRIMARY_WINS,True,SAME_NEAREST,2.740000000000009,25.269999999999982,DOWN,True,2037.12,2009.11,2012.58,2012.58,2010.91,2011.03,2024,0.10842896715472937
44,2024-02-13 15:47:00,DOWN,2009.11,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,7.329999999999927,28.00999999999999,DOWN,True,2037.12,2001.78,2011.56,2011.59,2007.26,2007.87,2024,0.2616922527668665
45,2024-02-13 16:08:00,DOWN,2001.78,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,35.33999999999992,UP,False,2037.12,,2002.17,2002.17,2001.12,2001.6,2024,
47,2024-02-16 17:36:00,UP,2008.29,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,OPPOSITE_NEAREST,24.62000000000012,24.12999999999988,UP,True,2032.91,1984.16,2006.21,2009.34,2006.21,2009.22,2024,1.0203066721923018
48,2024-02-20 10:59:00,UP,2022.92,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,9.990000000000009,9.710000000000036,UP,True,2032.91,2013.21,2022.82,2022.95,2022.68,2022.8,2024,1.0288362512873297
49,2024-02-21 06:07:00,UP,2030.89,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,2.019999999999982,17.680000000000064,DOWN,False,2032.91,2013.21,2030.84,2031.02,2030.78,2031.02,2024,0.11425339366515692
51,2024-02-22 10:05:00,UP,2032.19,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,0.7200000000000273,12.190000000000055,UP,True,2032.91,2020.0,2031.98,2032.37,2031.85,2032.18,2024,0.05906480721903397
52,2024-02-22 10:07:00,UP,2032.91,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,4.209999999999809,12.910000000000082,DOWN,False,2037.12,2020.0,2032.47,2034.87,2032.47,2034.63,2024,0.32610379550734175
54,2024-02-23 08:26:00,DOWN,2019.55,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,6.339999999999918,15.319999999999936,UP,False,2034.87,2013.21,2019.87,2020.13,2019.3,2019.42,2024,0.413838120104435
56,2024-02-23 18:34:00,UP,2037.12,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,1.5200000000002092,23.909999999999854,UP,True,2038.64,2013.21,2036.44,2037.4,2035.82,2036.72,2024,0.06357172731075778
57,2024-02-23 19:00:00,UP,2038.64,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,5.839999999999918,25.430000000000064,UP,True,2044.48,2013.21,2038.33,2039.15,2038.33,2039.09,2024,0.22965001966181295
58,2024-02-27 10:23:00,UP,2036.93,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,4.369999999999891,11.8900000000001,DOWN,False,2041.3,2025.04,2036.29,2037.29,2036.24,2036.83,2024,0.3675357443229482
60,2024-02-28 11:38:00,DOWN,2025.04,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,9.009999999999991,14.370000000000118,UP,False,2039.41,2016.03,2025.28,2025.28,2024.92,2024.92,2024,0.6270006958942183
62,2024-02-29 15:36:00,UP,2041.3,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,3.1800000000000637,16.87999999999988,UP,True,2044.48,2024.42,2039.43,2041.95,2039.07,2041.77,2024,0.18838862559242214
63,2024-02-29 15:45:00,UP,2044.48,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,13.13000000000011,20.059999999999945,UP,True,2057.61,2024.42,2044.04,2046.72,2044.04,2045.47,2024,0.6545363908275247
64,2024-03-01 12:25:00,UP,2050.65,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,6.960000000000036,22.62000000000012,UP,True,2057.61,2028.03,2049.72,2050.87,2049.71,2050.6,2024,0.3076923076923077
65,2024-03-01 17:15:00,UP,2057.61,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,7.739999999999782,29.580000000000155,UP,True,2065.35,2028.03,2055.65,2059.39,2055.38,2058.95,2024,0.26166328600404803
66,2024-03-01 17:42:00,UP,2065.35,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,0.599999999999909,37.319999999999936,UP,True,2065.95,2028.03,2065.14,2065.74,2065.04,2065.24,2024,0.016077170418004022
67,2024-03-01 17:45:00,UP,2065.95,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,12.950000000000273,37.919999999999845,UP,True,2078.9,2028.03,2065.35,2066.31,2065.2,2065.91,2024,0.341508438818574
68,2024-03-01 18:39:00,UP,2078.9,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,50.87000000000012,UP,True,,2028.03,2078.21,2079.12,2078.15,2079.09,2024,
69,2024-03-04 15:55:00,UP,2088.24,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,49.22999999999979,UP,True,,2039.01,2087.5,2089.03,2087.46,2088.59,2024,
70,2024-03-05 10:27:00,UP,2119.86,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,80.85000000000014,UP,True,,2039.01,2119.42,2120.06,2119.16,2119.85,2024,
71,2024-03-06 16:32:00,UP,2141.7,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,18.129999999999654,UP,True,,2123.57,2140.29,2143.12,2140.25,2142.39,2024,
72,2024-03-08 10:28:00,UP,2164.71,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,16.800000000000182,DOWN,False,,2147.91,2163.13,2164.93,2163.11,2164.37,2024,
74,2024-03-12 16:09:00,DOWN,2153.97,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,6.059999999999945,31.66000000000031,DOWN,True,2185.63,2147.91,2155.38,2155.94,2153.31,2153.44,2024,0.19140871762475953
75,2024-03-18 00:00:00,DOWN,2152.7,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,2.149999999999636,19.960000000000036,DOWN,True,2172.66,2150.55,2155.12,2155.12,2151.26,2152.25,2024,0.10771543086170503
