id,side,price,source,known_at,raid_at
H4_BSL_20260219_1600,UP,5022.28,2026-02-19 16:00:00,2026-02-20 04:00:00,2026-02-20 08:23:00
H4_SSL_20260219_1600,DOWN,4963.43,2026-02-19 16:00:00,2026-02-20 04:00:00,
H4_SSL_20260220_1600,DOWN,4989.2,2026-02-20 16:00:00,2026-02-23 04:00:00,
H4_BSL_20260223_0400,UP,5176.6,2026-02-23 04:00:00,2026-02-23 16:00:00,2026-02-23 16:36:00
H4_BSL_20260224_0000,UP,5249.64,2026-02-24 00:00:00,2026-02-24 12:00:00,2026-02-27 18:11:00
H4_SSL_20260224_1600,DOWN,5093.5,2026-02-24 16:00:00,2026-02-25 04:00:00,
H4_BSL_20260225_0400,UP,5210.59,2026-02-25 04:00:00,2026-02-25 16:00:00,2026-02-25 18:46:00
H4_BSL_20260225_1600,UP,5217.58,2026-02-25 16:00:00,2026-02-26 04:00:00,2026-02-27 15:15:00
H4_SSL_20260225_2000,DOWN,5146.15,2026-02-25 20:00:00,2026-02-26 08:00:00,2026-02-26 16:30:00
H4_SSL_20260226_1600,DOWN,5130.34,2026-02-26 16:00:00,2026-02-27 04:00:00,
H4_BSL_20260226_2000,UP,5201.02,2026-02-26 20:00:00,2026-02-27 08:00:00,2026-02-27 15:07:00
H4_SSL_20260227_1200,DOWN,5168.74,2026-02-27 12:00:00,2026-02-28 00:00:00,
