universe,sl_arm,block,resolved_worst,wr_worst,total_R_worst,mean_R_worst,PF_worst,maxDD_worst
CONTROL,FIXED_10,2024,110.0,0.2727272727272727,44.074999999999854,0.40068181818181686,1.5693488173820918,14.091000000000031
CONTROL,FIXED_10,2025H1,49.0,0.32653061224489793,47.62500000000004,0.9719387755102049,2.5215168844445888,11.614000000000033
CONTROL,FIXED_10,2026JF,25.0,0.08,42.53199999999988,1.7012799999999952,2.8492173913043426,17.0
CONTROL,FIXED_15,2024,99.0,0.31313131313131315,20.783999999999878,0.2099393939393927,1.3410642394538752,9.970666666666691
CONTROL,FIXED_15,2025H1,42.0,0.40476190476190477,37.11600000000008,0.8837142857142876,2.6396889909878127,7.416000000000018
CONTROL,FIXED_15,2026JF,25.0,0.08,20.687999999999917,0.8275199999999967,1.8994782608695615,17.0
CONTROL,FIXED_20,2024,92.0,0.33695652173913043,14.980499999999871,0.16283152173912904,1.309156760772657,7.908500000000026
CONTROL,FIXED_20,2025H1,39.0,0.4358974358974359,25.69850000000006,0.658935897435899,2.3365839704582143,5.812000000000012
CONTROL,FIXED_20,2026JF,22.0,0.13636363636363635,17.432499999999937,0.7923863636363607,1.9174999999999964,16.0
CONTROL,FIXED_25,2024,89.0,0.34831460674157305,10.58639999999988,0.11894831460674023,1.2635872000956077,6.3456000000000135
CONTROL,FIXED_25,2025H1,37.0,0.4864864864864865,21.191600000000072,0.5727459459459479,2.3551002660118776,3.4147999999999765
CONTROL,FIXED_25,2026JF,21.0,0.14285714285714285,11.14599999999995,0.5307619047619023,1.6192222222222192,15.0
CONTROL,FIXED_30,2024,86.0,0.36046511627906974,10.314666666666568,0.11993798449612289,1.3161680562367137,5.288000000000011
CONTROL,FIXED_30,2025H1,34.0,0.5294117647058824,20.234000000000073,0.5951176470588256,2.724733626935658,3.211999999999974
CONTROL,FIXED_30,2026JF,21.0,0.14285714285714285,6.2883333333332905,0.2994444444444424,1.3493518518518492,15.0
CONTROL,FIXED_40,2024,85.0,0.36470588235294116,8.005249999999917,0.0941794117647049,1.3309561460626504,4.09250000000004
CONTROL,FIXED_40,2025H1,32.0,0.5625,16.947250000000054,0.5296015625000017,3.0926406124591157,3.0262500000000045
CONTROL,FIXED_40,2026JF,18.0,0.16666666666666666,4.753499999999986,0.26408333333333256,1.316899999999999,12.0
CONTROL,FIXED_50,2024,85.0,0.36470588235294116,6.204199999999933,0.07299058823529332,1.317340644276898,3.474000000000032
CONTROL,FIXED_50,2025H1,32.0,0.5625,13.157800000000043,0.41118125000000133,2.912804558934714,2.8210000000000033
CONTROL,FIXED_50,2026JF,13.0,0.3076923076923077,13.071999999999987,1.0055384615384606,2.500114757860913,5.713999999999997
CONTROL,H1_STRUCT,2024,87.0,0.3563218390804598,31.842822841280938,0.3660094579457579,1.7377091808042775,8.127995070268149
CONTROL,H1_STRUCT,2025H1,33.0,0.5454545454545454,18.28991783045644,0.5542399342562557,2.6324109723010407,3.5340111480494167
CONTROL,H1_STRUCT,2026JF,10.0,0.4,7.079143135523763,0.7079143135523763,2.451991822525298,2.0491212315551737
SAME_NEAREST,FIXED_10,2024,92.0,0.2826086956521739,38.94399999999992,0.42330434782608606,1.625686835255935,10.826000000000022
SAME_NEAREST,FIXED_10,2025H1,43.0,0.3023255813953488,26.855000000000018,0.6245348837209307,1.9424791184108938,11.0
SAME_NEAREST,FIXED_10,2026JF,15.0,0.06666666666666667,-7.76200000000008,-0.5174666666666721,0.44557142857142285,13.0
SAME_NEAREST,FIXED_15,2024,82.0,0.32926829268292684,23.223999999999915,0.2832195121951209,1.4961262390338363,8.636000000000001
SAME_NEAREST,FIXED_15,2025H1,39.0,0.38461538461538464,22.548000000000048,0.5781538461538474,2.0203638338311185,7.416000000000015
SAME_NEAREST,FIXED_15,2026JF,15.0,0.06666666666666667,-9.841333333333386,-0.6560888888888924,0.2970476190476153,13.0
SAME_NEAREST,FIXED_20,2024,75.0,0.36,19.959999999999912,0.26613333333333217,1.575042134224511,4.6340000000000146
SAME_NEAREST,FIXED_20,2025H1,35.0,0.42857142857142855,16.464000000000034,0.470400000000001,1.9346579619642377,5.812000000000012
SAME_NEAREST,FIXED_20,2026JF,14.0,0.07142857142857142,-9.88100000000004,-0.7057857142857171,0.23992307692307382,12.0
SAME_NEAREST,FIXED_25,2024,73.0,0.3698630136986301,14.939599999999906,0.20465205479451926,1.5187937548616472,4.326000000000004
SAME_NEAREST,FIXED_25,2025H1,31.0,0.5161290322580645,18.050800000000034,0.582283870967743,2.4953608589038434,2.8792000000000004
SAME_NEAREST,FIXED_25,2026JF,13.0,0.07692307692307693,-9.504800000000031,-0.731138461538464,0.20793333333333067,11.0
SAME_NEAREST,FIXED_30,2024,71.0,0.38028169014084506,13.956333333333253,0.19656807511736976,1.6031693438017676,3.154666666666667
SAME_NEAREST,FIXED_30,2025H1,28.0,0.5714285714285714,17.950000000000045,0.6410714285714302,3.1303952209518666,2.76566666666666
SAME_NEAREST,FIXED_30,2026JF,13.0,0.07692307692307693,-9.920666666666694,-0.7631282051282072,0.17327777777777556,11.0
SAME_NEAREST,FIXED_40,2024,70.0,0.38571428571428573,10.888249999999935,0.15554642857142764,1.6434280311424254,2.530750000000011
SAME_NEAREST,FIXED_40,2025H1,27.0,0.6296296296296297,14.433250000000044,0.5345648148148164,3.5218625780806554,2.0262500000000045
SAME_NEAREST,FIXED_40,2026JF,10.0,0.1,-5.9032500000000026,-0.5903250000000002,0.3440833333333331,8.0
SAME_NEAREST,FIXED_50,2024,70.0,0.38571428571428573,8.510599999999947,0.12157999999999924,1.6195023948521545,2.2246000000000095
SAME_NEAREST,FIXED_50,2025H1,27.0,0.6296296296296297,11.346600000000032,0.42024444444444564,3.3744611392458226,1.8210000000000033
SAME_NEAREST,FIXED_50,2026JF,5.0,0.4,5.746599999999999,1.14932,3.1173913043478287,2.7139999999999964
SAME_NEAREST,H1_STRUCT,2024,74.0,0.36486486486486486,35.20168293028531,0.4756984179768285,2.0434684457831658,6.54358390953108
SAME_NEAREST,H1_STRUCT,2025H1,28.0,0.5714285714285714,15.566096030652297,0.5559320010947248,2.7638266311455464,3.5119360928617986
SAME_NEAREST,H1_STRUCT,2026JF,5.0,0.4,2.0384877598264253,0.40769755196528507,1.7843355231062812,2.598999662482711
CONTROL,FIXED_10,COMBINED_2024_2025H1_2026JF,184.0,0.2608695652173913,134.23199999999977,0.7295217391304335,2.0191171781283677,17.614000000000033
CONTROL,FIXED_15,COMBINED_2024_2025H1_2026JF,166.0,0.30120481927710846,78.58799999999991,0.4734216867469874,1.7373985062116066,17.0
CONTROL,FIXED_20,COMBINED_2024_2025H1_2026JF,153.0,0.3333333333333333,58.111499999999864,0.3798137254901952,1.6703909647797128,16.0
CONTROL,FIXED_25,COMBINED_2024_2025H1_2026JF,147.0,0.35374149659863946,42.92399999999991,0.29199999999999937,1.581616559080339,15.0
CONTROL,FIXED_30,COMBINED_2024_2025H1_2026JF,141.0,0.36879432624113473,36.83699999999994,0.26125531914893574,1.5907562531071748,15.0
CONTROL,FIXED_40,COMBINED_2024_2025H1_2026JF,135.0,0.3851851851851852,29.705999999999957,0.22004444444444413,1.6282098050722444,12.0
CONTROL,FIXED_50,COMBINED_2024_2025H1_2026JF,130.0,0.4076923076923077,32.43399999999996,0.2494923076923074,1.922904442939498,5.713999999999995
CONTROL,H1_STRUCT,COMBINED_2024_2025H1_2026JF,130.0,0.4076923076923077,57.21188380726114,0.44009141390200873,1.9656963965749972,8.127995070268149
SAME_NEAREST,FIXED_10,COMBINED_2024_2025H1_2026JF,150.0,0.26666666666666666,58.036999999999864,0.38691333333333244,1.554126565841734,25.0
SAME_NEAREST,FIXED_15,COMBINED_2024_2025H1_2026JF,136.0,0.3161764705882353,35.930666666666575,0.2641960784313719,1.433376486575588,21.416000000000018
