universe,block,direction,n,resolved,wins,losses,wr,total_R,mean_R,PF,maxDD,avg_win_R,med_win_R,avg_loss_R,payoff,amb,cens,split,month
CONTROL,2024,DOWN,40.0,37.0,14.0,23.0,0.3783783783783784,1.8920825360966318,0.051137365840449506,1.118239004939815,6.844837339361433,1.2781620301944865,0.8281877754153453,-0.6957472124620078,1.837106936686839,2.0,1.0,block / direction,
CONTROL,2024,UP,48.0,38.0,17.0,21.0,0.4473684210526316,41.950740305184304,1.103966850136429,3.766783098213702,3.0918156783271584,3.3595894354741143,2.5338842975206366,-0.722013337994078,4.653085003675749,10.0,0.0,block / direction,
CONTROL,2025H1,DOWN,12.0,10.0,5.0,5.0,0.5,3.4919486451601642,0.34919486451601645,1.9995134567241521,1.0752885143799258,1.3971194202969859,1.3591635916359115,-0.698729691264953,1.9995134567241524,1.0,1.0,block / direction,
CONTROL,2025H1,UP,22.0,21.0,13.0,8.0,0.6190476190476191,16.797969185296267,0.7999032945379175,3.941548303161188,2.8931747396853282,1.7314274429428536,1.430346051464067,-0.7138234466201028,2.425568186560731,1.0,0.0,block / direction,
CONTROL,2026JF,DOWN,5.0,4.0,1.0,3.0,0.25,-0.007182542937519132,-0.001795635734379783,0.9964948179605421,1.0491212315551737,2.0419386886176545,2.0419386886176545,-0.6830404105183913,2.989484453881626,1.0,0.0,block / direction,
CONTROL,2026JF,UP,6.0,5.0,3.0,2.0,0.6,8.086325678461282,1.6172651356922565,5.427590226281374,1.0,3.3042249452404033,2.5955487336914818,-0.913174578629964,3.618393484187583,0.0,1.0,block / direction,
SAME_NEAREST,2024,DOWN,35.0,33.0,13.0,20.0,0.3939393939393939,-0.4793893588756153,-0.014526950268958038,0.9644957180805872,6.994375948489081,1.0017621254343103,0.5834434169969167,-0.6751148494760824,1.4838395662778268,1.0,1.0,block / direction,
SAME_NEAREST,2024,UP,40.0,34.0,14.0,20.0,0.4117647058823529,42.68107228916092,1.2553256555635566,4.225359361835869,3.0918156783271584,3.9938599113749764,2.7163171487603215,-0.6616483235044377,6.036227659765527,6.0,0.0,block / direction,
SAME_NEAREST,2025H1,DOWN,12.0,10.0,5.0,5.0,0.5,0.7973466438870679,0.07973466438870679,1.22822749737272,1.6950221705542559,0.8581990200423666,1.127215276823743,-0.698729691264953,1.22822749737272,1.0,1.0,block / direction,
SAME_NEAREST,2025H1,UP,17.0,16.0,11.0,5.0,0.6875,16.76874938676523,1.0480468366728268,6.033338225424892,1.8710996844977101,1.8272987056346042,1.7670413776608516,-0.666307275043083,2.7424264661022235,1.0,0.0,block / direction,
SAME_NEAREST,2026JF,DOWN,3.0,3.0,1.0,2.0,0.3333333333333333,0.4429390261349434,0.14764634204498114,1.2770100810698155,1.598999662482711,2.0419386886176545,2.0419386886176545,-0.7994998312413556,2.554020162139631,0.0,0.0,block / direction,
SAME_NEAREST,2026JF,UP,3.0,2.0,1.0,1.0,0.5,1.5955487336914818,0.7977743668457409,2.5955487336914818,0.0,2.5955487336914818,2.5955487336914818,-1.0,2.5955487336914818,0.0,1.0,block / direction,
CONTROL,,,8.0,6.0,2.0,4.0,0.3333333333333333,0.02698493810337682,0.004497489683896137,1.009184479025655,1.0,1.4825435729847343,1.4825435729847343,-0.7345255519665229,2.01836895805131,2.0,0.0,month,2024-01
CONTROL,,,11.0,10.0,3.0,7.0,0.3,4.765786093273204,0.4765786093273204,2.042970068479823,3.3968705547652878,3.1117410542521564,0.805755395683453,-0.652776724211895,4.766930159786254,1.0,0.0,month,2024-02
