module,year,state,n,meanR,posrate,cprate,r2rate
BB_PERSIST_HTF,2024,all,37,0.13531951855998622,0.5405405405405406,0.4594594594594595,0.24324324324324326
BB_PERSIST_HTF,2024,dc_not_align,37,0.13531951855998622,0.5405405405405406,0.4594594594594595,0.24324324324324326
BB_PERSIST_HTF,2025,all,31,0.2558894523997583,0.6129032258064516,0.5483870967741935,0.3225806451612903
BB_PERSIST_HTF,2025,dc_not_align,31,0.2558894523997583,0.6129032258064516,0.5483870967741935,0.3225806451612903
BB_PERSIST_HTF,2026,all,30,0.07837269105511104,0.5333333333333333,0.4666666666666667,0.2
BB_PERSIST_HTF,2026,dc_not_align,30,0.07837269105511104,0.5333333333333333,0.4666666666666667,0.2
LATE_IGNITION_ENDO,2024,all,28,0.21974834324558903,0.6428571428571429,0.6071428571428571,0.21428571428571427
LATE_IGNITION_ENDO,2024,dc_align,21,0.1334188384926494,0.5714285714285714,0.5714285714285714,0.23809523809523808
LATE_IGNITION_ENDO,2024,dc_not_align,7,0.4787368575044079,0.8571428571428571,0.7142857142857143,0.14285714285714285
LATE_IGNITION_ENDO,2025,all,26,0.10495482740278926,0.5384615384615384,0.5384615384615384,0.23076923076923078
LATE_IGNITION_ENDO,2025,dc_align,19,-0.07894736842105263,0.47368421052631576,0.47368421052631576,0.21052631578947367
LATE_IGNITION_ENDO,2025,dc_not_align,7,0.6041179303532173,0.7142857142857143,0.7142857142857143,0.2857142857142857
LATE_IGNITION_ENDO,2026,all,19,0.31867933436890306,0.6842105263157895,0.47368421052631576,0.2631578947368421
LATE_IGNITION_ENDO,2026,dc_align,12,0.45408111881244,0.8333333333333334,0.5833333333333334,0.25
LATE_IGNITION_ENDO,2026,dc_not_align,7,0.08656198960855403,0.42857142857142855,0.2857142857142857,0.2857142857142857
MACRO_MAJOR_2024,2024,all,35,0.26565417320721635,0.6571428571428571,0.6285714285714286,0.2571428571428571
MACRO_MAJOR_2024,2024,dc_align,17,0.3549757186238151,0.7058823529411765,0.6470588235294118,0.29411764705882354
MACRO_MAJOR_2024,2024,dc_oppose,2,0.25,0.5,0.5,0.5
MACRO_MAJOR_2024,2024,dc_not_align,18,0.1812949358693176,0.6111111111111112,0.6111111111111112,0.2222222222222222
