cluster,action,period,N,resolved,acc,edge
1,FADE,2024H1,70,51,0.5686274509803921,0.1
1,FADE,2024H2,85,69,0.5072463768115942,0.011764705882352941
1,FADE,2025,122,90,0.4666666666666667,-0.04918032786885246
1,FADE,2026,55,45,0.4444444444444444,-0.09090909090909091
6,FADE,2024H1,21,21,0.6190476190476191,0.23809523809523808
6,FADE,2024H2,32,29,0.4482758620689655,-0.09375
6,FADE,2025,54,46,0.5,0.0
6,FADE,2026,35,29,0.5517241379310345,0.08571428571428572
