scenario,period,N,coverage,resolved,move_rate,dir_acc,all_win_rate,all_loss_rate,edge_score
S1_BREAKOUT_DISP_FOLLOW,2024H1,150,0.4672897196261682,122,0.8133333333333334,0.47540983606557374,0.38666666666666666,0.4266666666666667,-0.04
S1_BREAKOUT_DISP_FOLLOW,2024H2,134,0.40978593272171254,116,0.8656716417910447,0.5172413793103449,0.44776119402985076,0.417910447761194,0.029850746268656716
S1_BREAKOUT_DISP_FOLLOW,2024,284,0.4382716049382716,238,0.8380281690140845,0.4957983193277311,0.4154929577464789,0.4225352112676056,-0.007042253521126761
S1_BREAKOUT_DISP_FOLLOW,2025,223,0.4099264705882353,184,0.8251121076233184,0.5652173913043478,0.4663677130044843,0.35874439461883406,0.10762331838565023
S1_BREAKOUT_DISP_FOLLOW,2026,171,0.5074183976261127,144,0.8421052631578947,0.4722222222222222,0.39766081871345027,0.4444444444444444,-0.04678362573099415
S2_SWEEP_RECLAIM_FADE,2024H1,60,0.18691588785046728,47,0.7833333333333333,0.5531914893617021,0.43333333333333335,0.35,0.08333333333333333
S2_SWEEP_RECLAIM_FADE,2024H2,61,0.18654434250764526,45,0.7377049180327869,0.5555555555555556,0.4098360655737705,0.32786885245901637,0.08196721311475409
S2_SWEEP_RECLAIM_FADE,2024,121,0.1867283950617284,92,0.7603305785123967,0.5543478260869565,0.4214876033057851,0.33884297520661155,0.08264462809917356
S2_SWEEP_RECLAIM_FADE,2025,109,0.20036764705882354,87,0.7981651376146789,0.41379310344827586,0.3302752293577982,0.46788990825688076,-0.13761467889908258
S2_SWEEP_RECLAIM_FADE,2026,63,0.18694362017804153,41,0.6507936507936508,0.4146341463414634,0.2698412698412698,0.38095238095238093,-0.1111111111111111
S3_FAILED_BREAKOUT_FADE,2024H1,11,0.03426791277258567,8,0.7272727272727273,0.375,0.2727272727272727,0.45454545454545453,-0.18181818181818182
S3_FAILED_BREAKOUT_FADE,2024H2,22,0.0672782874617737,17,0.7727272727272727,0.47058823529411764,0.36363636363636365,0.4090909090909091,-0.045454545454545456
S3_FAILED_BREAKOUT_FADE,2024,33,0.05092592592592592,25,0.7575757575757576,0.44,0.3333333333333333,0.42424242424242425,-0.09090909090909091
S3_FAILED_BREAKOUT_FADE,2025,34,0.0625,27,0.7941176470588235,0.4074074074074074,0.3235294117647059,0.47058823529411764,-0.14705882352941177
S3_FAILED_BREAKOUT_FADE,2026,23,0.06824925816023739,14,0.6086956521739131,0.5714285714285714,0.34782608695652173,0.2608695652173913,0.08695652173913043
S4_RESIDENCE_ESCAPE_FOLLOW,2024H1,15,0.04672897196261682,15,1.0,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.06666666666666667
S4_RESIDENCE_ESCAPE_FOLLOW,2024H2,13,0.039755351681957186,9,0.6923076923076923,0.6666666666666666,0.46153846153846156,0.23076923076923078,0.23076923076923078
S4_RESIDENCE_ESCAPE_FOLLOW,2024,28,0.043209876543209874,24,0.8571428571428571,0.5833333333333334,0.5,0.35714285714285715,0.14285714285714285
S4_RESIDENCE_ESCAPE_FOLLOW,2025,26,0.04779411764705882,21,0.8076923076923077,0.6190476190476191,0.5,0.3076923076923077,0.19230769230769232
S4_RESIDENCE_ESCAPE_FOLLOW,2026,22,0.06528189910979229,18,0.8181818181818182,0.4444444444444444,0.36363636363636365,0.45454545454545453,-0.09090909090909091
S5_COMPRESSION_RELEASE_FOLLOW,2024H1,4,0.012461059190031152,3,0.75,0.3333333333333333,0.25,0.5,-0.25
S5_COMPRESSION_RELEASE_FOLLOW,2024H2,7,0.021406727828746176,4,0.5714285714285714,0.5,0.2857142857142857,0.2857142857142857,0.0
S5_COMPRESSION_RELEASE_FOLLOW,2024,11,0.016975308641975308,7,0.6363636363636364,0.42857142857142855,0.2727272727272727,0.36363636363636365,-0.09090909090909091
S5_COMPRESSION_RELEASE_FOLLOW,2025,9,0.016544117647058824,7,0.7777777777777778,0.5714285714285714,0.4444444444444444,0.3333333333333333,0.1111111111111111
S5_COMPRESSION_RELEASE_FOLLOW,2026,13,0.03857566765578635,9,0.6923076923076923,0.4444444444444444,0.3076923076923077,0.38461538461538464,-0.07692307692307693
S6_BB_AWAY3_FOLLOW,2024H1,79,0.24610591900311526,68,0.8607594936708861,0.5147058823529411,0.4430379746835443,0.4177215189873418,0.02531645569620253
S6_BB_AWAY3_FOLLOW,2024H2,92,0.28134556574923547,77,0.8369565217391305,0.5584415584415584,0.4673913043478261,0.3695652173913043,0.09782608695652174
