decision,S,dir,entry,censored,sl,timeout15,cp,cp_rr,max_rr,be,timeout60,end_rr,cp_ms,end_ms
2024-01-02 17:40:00,8.81884,-1,2057.46,0,1,0,0,0,-1e+09,0,0,-1.04776,0,150199526
2024-01-05 15:35:00,8.51439,-1,2029.27,0,0,0,1,1.01006,2.07179,1,0,-0.0422814,401818817,402126656
2024-01-11 18:25:00,9.33195,-1,2019.14,0,0,0,1,1.08873,1.1916,1,0,-0.00428635,930369532,930547000
2024-01-12 15:35:00,9.64296,1,2052.45,0,0,0,1,1.02458,3.72915,0,1,3.58811,1006562688,1010100090
2024-01-25 15:40:00,7.78801,1,2020.19,0,1,0,0,0,-1e+09,0,0,-1.00154,0,2130208918
2024-01-26 15:35:00,7.73189,-1,2021.06,0,0,0,1,1.00364,1.10193,1,0,-0.118988,2216197100,2216421802
2024-01-29 01:15:00,7.58811,1,2024.6,0,0,0,1,1.01738,2.02949,1,0,-0.121242,2424468423,2424677564
2024-01-29 16:45:00,8.0492,-1,2024.39,0,0,0,1,1.06346,1.29702,1,0,-0,2479795782,2480115337
2024-01-31 16:50:00,7.7631,1,0,1,0,0,0,0,-1e+09,0,0,0,0,0
2024-02-02 15:35:00,8.66571,-1,2041.3,0,0,0,1,1.02011,6.12529,0,1,5.79757,2820956314,2824500073
2024-02-13 15:35:00,6.41256,-1,2015.57,0,1,0,0,0,-1e+09,0,0,-1.07913,0,3771306515
2024-02-16 15:35:00,6.17025,-1,1998.65,0,0,0,1,1.0113,2.18468,1,0,-0.0842753,4030544264,4030596249
2024-02-29 15:35:00,5.6499,1,0,1,0,0,0,0,-1e+09,0,0,0,0,0
2024-03-04 16:05:00,8.52816,1,2092.84,0,1,0,0,0,-1e+09,0,0,-1.00373,0,5501189903
2024-03-20 20:05:00,7.53756,1,2170.63,0,0,0,1,1.08258,2.38804,1,0,-0.021227,6897930157,6898084156
2024-03-21 00:20:00,9.29344,1,2210.51,0,1,0,0,0,-1e+09,0,0,-1.01147,0,6913215303
2024-04-04 22:40:00,13.4725,-1,2284.85,0,1,0,0,0,-1e+09,0,0,-1.00055,0,8203364051
2024-04-05 15:35:00,14.3173,-1,2285.89,0,1,0,0,0,-1e+09,0,0,-1.01416,0,8264236755
2024-04-08 01:20:00,15.9516,-1,2311.26,0,0,0,1,1.06823,1.58229,1,0,-0.0275835,8472017752,8472074103
2024-04-10 15:35:00,15.5361,-1,2329.62,0,1,0,0,0,-1e+09,0,0,-1.00154,0,8696187902
2024-04-11 15:35:00,16.6527,1,2342.45,0,0,1,0,0,-1e+09,0,0,-0.0456383,0,8783400054
2024-04-15 01:10:00,21.7538,1,2371.28,0,1,0,0,0,-1e+09,0,0,-1.03338,0,9076240251
2024-04-23 04:40:00,17.4336,-1,2314.35,0,0,0,1,1.01643,4.23549,1,0,-0.00688325,9780139351,9782021051
2024-04-26 15:35:00,15.4261,1,2346.27,0,0,0,1,1.00868,1.3743,1,0,0,10078714306,10079168257
2024-05-02 16:15:00,13.8641,-1,2288.83,0,0,1,0,0,-1e+09,0,0,-0.455855,0,10600200001
2024-05-03 15:35:00,12.9499,1,2315.56,0,1,0,0,0,-1e+09,0,0,-1.06565,0,10683423657
2024-05-13 16:50:00,12.4907,-1,2341.06,0,1,0,0,0,-1e+09,0,0,-1.05678,0,11552344701
2024-05-14 15:35:00,11.3438,-1,2341.35,0,1,0,0,0,-1e+09,0,0,-1.00848,0,11633837214
2024-05-15 15:35:00,10.9505,1,2370.94,0,1,0,0,0,-1e+09,0,0,-1.01548,0,11720194349
2024-05-17 16:10:00,10.847,1,2397.84,0,0,0,1,1.13948,2.69198,1,0,-0.0221259,11895069403,11896618999
2024-05-20 04:05:00,12.3059,1,2436.99,0,0,0,1,1.00115,1.17342,1,0,-0.00975145,12111060222,12111113602
2024-05-20 08:50:00,12.514,1,2450.1,0,1,0,0,0,-1e+09,0,0,-1.04203,0,12128659405
2024-05-20 15:15:00,12.9159,-1,2422.21,0,0,0,1,1.00651,2.15239,1,0,-0,12151280354,12151973858
2024-05-21 05:05:00,14.3452,-1,2419.4,0,0,1,0,0,-1e+09,0,0,-0.0697095,0,12201600152
2024-05-22 17:15:00,13.6245,-1,2393.71,0,0,0,1,1.08334,1.43271,1,0,-0.0117435,12331155302,12331333051
2024-05-23 09:00:00,14.5994,-1,2359.99,0,0,0,1,1.04114,1.33978,1,0,-0.00821954,12387716006,12387844807
2024-05-31 15:35:00,10.4713,1,0,1,0,0,0,0,-1e+09,0,0,0,0,0
2024-06-06 04:15:00,11.6315,1,2363.89,0,1,0,0,0,-1e+09,0,0,-1.03512,0,13580165699
2024-06-07 11:05:00,12.337,-1,2358.26,0,1,0,0,0,-1e+09,0,0,-1.01159,0,13691128148
2024-06-07 15:35:00,14.6743,-1,2320.18,0,0,0,1,1.00039,1.22391,1,0,-0.0163551,13707366149,13707464257
2024-06-12 15:35:00,12.1117,1,2325.27,0,1,0,0,0,-1e+09,0,0,-1.00399,0,14139330825
2024-06-13 15:35:00,13.6172,1,2320.14,0,0,0,1,1.00167,1.90054,1,0,-0.00881238,14225807106,14225946106
