decision,S,dir,entry,censored,sl,timeout15,cp,cp_rr,max_rr,be,timeout60,end_rr,cp_ms,end_ms
2024-06-26 16:15:00,9.92122,-1,2304.27,0,0,0,1,1.01197,4.20916,0,1,2.13683,15351536467,15354900007
2024-06-28 15:35:00,9.55367,1,2337.19,0,1,0,0,0,-1e+09,0,0,-1.00066,0,15522110156
2024-07-03 15:40:00,9.91159,1,2356.14,0,1,0,0,0,-1e+09,0,0,-1.00892,0,15954268851
2024-07-05 15:35:00,8.07352,1,2370.45,0,0,0,1,1.11475,1.51607,1,0,-0.0148634,16126601208,16126650909
2024-07-11 15:35:00,9.28384,1,2399.85,0,0,0,1,1.04267,1.49938,1,0,0,16644995051,16645193903
2024-07-12 15:35:00,11.062,-1,2395.85,0,1,0,0,0,-1e+09,0,0,-1.00162,0,16731390507
2024-07-15 18:10:00,11.5542,1,2434.39,0,1,0,0,0,-1e+09,0,0,-1.06628,0,17000267350
2024-07-19 03:15:00,13.0944,-1,2431,0,0,0,1,1.08137,1.41434,1,0,-0,17291902202,17292504850
2024-07-19 16:15:00,13.9994,-1,2396.83,0,0,1,0,0,-1e+09,0,0,0.14572,0,17339400052
2024-07-25 04:25:00,12.1258,-1,2390.12,0,0,0,1,1.02261,6.36327,0,1,3.81005,17814419411,17817900050
2024-07-26 15:35:00,13.8715,1,2375.29,0,0,0,1,1.0035,1.0035,1,0,-0.00288361,17941264402,17941469450
2024-07-31 21:50:00,11.5421,1,0,1,0,0,0,0,-1e+09,0,0,0,0,0
2024-08-01 04:20:00,12.2742,1,0,1,0,0,0,0,-1e+09,0,0,0,0,0
2024-08-01 04:30:00,12.2742,1,0,1,0,0,0,0,-1e+09,0,0,0,0,0
2024-08-02 15:35:00,14.3995,1,2473.71,0,0,0,1,1.00837,1.08059,1,0,-0.141671,18545730504,18545812505
2024-08-08 17:20:00,17.3944,1,2419.73,0,0,0,1,1.01182,1.05091,1,0,0,19071043706,19071212204
2024-08-13 15:35:00,13.1059,1,2470.58,0,0,1,0,0,-1e+09,0,0,-0.576841,0,19497000002
2024-08-14 15:35:00,13.2329,-1,2465.9,0,1,0,0,0,-1e+09,0,0,-1.03076,0,19582635408
2024-08-16 16:00:00,13.6546,1,2491.85,0,1,0,0,0,-1e+09,0,0,-1.00479,0,19756859804
2024-08-21 16:40:00,13.2684,-1,2504.29,0,0,0,1,1.24506,3.04784,1,0,-0.114558,20191442812,20193197209
2024-08-22 16:35:00,12.8974,-1,2486.16,0,1,0,0,0,-1e+09,0,0,-1.03897,0,20277450005
2024-08-23 17:05:00,12.1609,1,2511.01,0,0,0,1,1.0065,2.23339,1,0,-0.207221,20365581910,20366256708
2024-09-06 15:35:00,10.4214,1,2524.53,0,0,0,1,1.00562,1.10926,1,0,0,21569711110,21569741506
2024-09-06 19:05:00,11.2284,-1,2497.86,0,1,0,0,0,-1e+09,0,0,-1.0509,0,21582429803
2024-09-11 15:35:00,9.98622,-1,2511.28,0,0,0,1,1.00939,3.56892,1,0,-0,22001780511,22003553004
2024-09-12 15:35:00,10.1178,1,2524.65,0,0,0,1,1.03975,4.2183,1,0,-0.173951,22088425906,22089608309
2024-09-17 18:40:00,10.611,-1,2564.68,0,0,0,1,1.03666,1.03666,1,0,-0.022618,22531298601,22531380203
2024-09-27 15:35:00,11.7852,1,2669.88,0,0,0,1,1.00126,1.4934,1,0,-0.0339409,23384795904,23384971204
2024-10-04 15:35:00,11.6508,-1,2641.02,0,1,0,0,0,-1e+09,0,0,-1.04027,0,23988965419
2024-10-10 15:35:00,12.4954,1,2621.13,0,0,0,1,1.02758,1.06919,1,0,-0.0288105,24507360913,24507388409
2024-10-16 09:25:00,11.9622,1,2676.1,0,0,1,0,0,-1e+09,0,0,-0.508268,0,25004400168
2024-10-18 04:45:00,10.8479,1,2704.93,0,0,1,0,0,-1e+09,0,0,-0.147494,0,25160400132
2024-10-28 00:05:00,11.7487,-1,2733.76,0,0,0,1,1.01458,1.11672,1,0,-0.00340463,26007062151,26007155018
2024-10-28 00:15:00,11.7487,-1,2735.53,0,0,1,0,0,-1e+09,0,0,0.74221,0,26008201215
2024-11-01 14:40:00,11.9655,1,0,1,0,0,0,0,-1e+09,0,0,0,0,0
2024-11-06 08:30:00,12.2382,-1,2717.53,0,1,0,0,0,-1e+09,0,0,-1.00341,0,26814620992
2024-11-06 15:10:00,14.0641,-1,2682.59,0,1,0,0,0,-1e+09,0,0,-1.00398,0,26838657300
2024-11-07 03:20:00,17.9391,-1,2650.37,0,0,0,1,1.01008,1.51624,1,0,-0,26882431597,26882704765
2024-11-11 15:40:00,15.5168,-1,2640.59,0,0,0,1,1.00794,1.0595,1,0,-0.0515571,27272474493,27272859096
2024-11-13 15:35:00,16.3927,1,2612.31,0,1,0,0,0,-1e+09,0,0,-1.01265,0,27445580153
2024-11-13 17:00:00,16.1418,-1,2601.97,0,0,0,1,1.02095,2.032,1,0,-0,27450318476,27452784072
2024-11-13 17:15:00,16.1418,-1,2596.25,0,1,0,0,0,-1e+09,0,0,-1.016,0,27451171654
2024-11-18 03:30:00,15.828,1,2594.11,0,0,1,0,0,-1e+09,0,0,-0.785949,0,27834300073
2024-11-25 05:30:00,15.63,-1,2671.35,0,0,0,1,1.016,1.4229,1,0,-0,28445465349,28445497413
2024-11-26 01:45:00,19.7776,-1,2609.47,0,0,1,0,0,-1e+09,0,0,-0.273037,0,28519200088
2024-11-28 03:10:00,16.9404,-1,2625.84,0,0,0,1,1.03185,1.09797,1,0,-0.0188898,28696885888,28697048870
2024-12-02 02:45:00,13.9722,-1,2632.81,0,1,0,0,0,-1e+09,0,0,-1.00771,0,29040575491
2024-12-05 17:15:00,12.2635,-1,2636.32,0,1,0,0,0,-1e+09,0,0,-1.00134,0,29352122125
2024-12-06 03:10:00,12.9721,-1,2619.09,0,0,0,1,1.35675,1.64044,1,0,-0.0215847,29387438041,29388070232
2024-12-06 15:35:00,14.1578,1,2637.3,0,0,0,1,1.05383,1.698,1,0,-0.00282529,29432311939,29432618596
2024-12-09 01:05:00,13.8187,1,2643.45,0,0,0,1,1.0247,1.42705,1,0,-0.00578926,29639178184,29639314947
2024-12-12 16:20:00,14.6764,-1,2689.04,0,0,0,1,1.01387,2.18582,1,0,-0,29953607078,29955068185
2024-12-18 21:05:00,10.9331,-1,2625.84,0,0,0,1,1.061,8.05992,0,1,7.50381,30488744409,30492300092
2024-12-20 15:35:00,14.7432,1,2606.65,0,0,0,1,1.07439,3.00613,0,1,2.88675,30642447621,30645300093
