mode,year,n,prev,auc,brier,logloss
annual,2024,14294,0.011613264306702113,0.8627641938080748,0.011230197886125837,0.05303363193796191
monthly_expanding,2024,14294,0.011613264306702113,0.8519772748980066,0.011121203180270673,0.052145262896210506
monthly_12m,2024,14294,0.011613264306702113,0.8150630551651682,0.011390870534305673,0.05491365336851707
monthly_cal180,2024,14294,0.011613264306702113,0.8429176786420882,0.010932532042051631,0.05159974243054052
monthly_prior180,2024,14294,0.011613264306702113,0.8598455259315859,0.011314404671369948,0.052992647953124083
annual,2025,13958,0.08045565267230262,0.8742223460241485,0.06910860872357959,0.2417654272950383
monthly_expanding,2025,13958,0.08045565267230262,0.8737153979493822,0.060013308189195945,0.20667921334316341
monthly_12m,2025,13958,0.08045565267230262,0.8720457370259762,0.05990666104519486,0.20572242180814065
monthly_cal180,2025,13958,0.08045565267230262,0.8731444135980304,0.059350827613404177,0.20585645714397688
monthly_prior180,2025,13958,0.08045565267230262,0.8731205474234418,0.06625936835594061,0.23417064837036916
annual,2026,9352,0.29448246364414027,0.8187326191801702,0.14698100028836397,0.45482541252407316
monthly_expanding,2026,9352,0.29448246364414027,0.8200436720442784,0.145534647771511,0.450915715302888
monthly_12m,2026,9352,0.29448246364414027,0.8197748354896391,0.1450826627214708,0.4495806499138786
monthly_cal180,2026,9352,0.29448246364414027,0.8186118215880651,0.14605429724232255,0.4526036377875362
monthly_prior180,2026,9352,0.29448246364414027,0.8187538619457977,0.14657377610370595,0.45405181755135576
