H,year,model,n,prevalence,auc,brier,logloss
15,2024,control53,14294,0.0116132643067021,0.8565597327020426,0.0113509743139379,0.0523650642003421
15,2024,excursion_dist,14294,0.0116132643067021,0.8570364413486334,0.0113614260409965,0.0534351329559887
15,2024,hgb_regime,14294,0.0116132643067021,0.8536781611155835,0.0108933169329246,0.0521102535604904
15,2024,regime_logit,14294,0.0116132643067021,0.8627641938080748,0.0112301978861258,0.0530336319379619
15,2024,survival_logit_60m_purged_pack,14294,0.0116132643067021,0.8660052156530993,0.0111142558956916,0.0520579520949186
15,2025,control53,13958,0.0804556526723026,0.8714605300996517,0.0580734769550492,0.2015667776913576
15,2025,excursion_dist,13958,0.0804556526723026,0.8717979867077895,0.0616120257461491,0.21161839037203
15,2025,hgb_regime,13958,0.0804556526723026,0.8500372388639839,0.064676718872669,0.2241302959912865
15,2025,regime_logit,13958,0.0804556526723026,0.8742223460241485,0.0691086087235795,0.2417654272950383
15,2025,survival_logit_60m_purged_pack,13958,0.0804556526723026,0.8736183375474939,0.061586150243848,0.211163195546575
15,2026,control53,9352,0.2944824636441402,0.8177213314569257,0.1467305098880651,0.4541027048489287
15,2026,excursion_dist,9352,0.2944824636441402,0.8131502845319866,0.1538105405988618,0.474755642816952
15,2026,hgb_regime,9352,0.2944824636441402,0.813832639586433,0.1512235047813264,0.46825488185597
15,2026,regime_logit,9352,0.2944824636441402,0.8187326191801702,0.1469810002883639,0.4548254125240731
15,2026,survival_logit_60m_purged_pack,9352,0.2944824636441402,0.8190162045979911,0.1464403837562018,0.4529642519443261
30,2024,control53,14294,0.0321113754022666,0.8418377815728951,0.0279963200778532,0.1130167337018374
30,2024,excursion_dist,14294,0.0321113754022666,0.8420186401669852,0.0287146081606188,0.1171891807448691
30,2024,hgb_regime,14294,0.0321113754022666,0.8381896661005486,0.0278875513235437,0.1136808163824375
30,2024,regime_logit,14294,0.0321113754022666,0.8471244900803352,0.0286703488509073,0.1144549632929444
30,2024,survival_logit_60m_purged_pack,14294,0.0321113754022666,0.8500766503445133,0.0282396970325321,0.1129170457465412
30,2025,control53,13958,0.1677174380283708,0.8526136242835507,0.1010002090522644,0.3271438041404022
30,2025,excursion_dist,13958,0.1677174380283708,0.849272948653774,0.1069268972108774,0.3429734096927322
30,2025,hgb_regime,13958,0.1677174380283708,0.8469274046633701,0.1068501644043852,0.3416976385961898
30,2025,regime_logit,13958,0.1677174380283708,0.8566430929469424,0.1086019336249078,0.3582055007393335
30,2025,survival_logit_60m_purged_pack,13958,0.1677174380283708,0.8565425244573558,0.1039753384109972,0.3374899417486233
30,2026,control53,9352,0.4860992301112061,0.7976573314739476,0.1824695131121767,0.5392979725387946
30,2026,excursion_dist,9352,0.4860992301112061,0.7891948700654465,0.1902952087167906,0.5652594660035251
30,2026,hgb_regime,9352,0.4860992301112061,0.7973757963859152,0.1857589956154082,0.5532124267034583
30,2026,regime_logit,9352,0.4860992301112061,0.7995477954214367,0.181898963848152,0.5392251230759367
30,2026,survival_logit_60m_purged_pack,9352,0.4860992301112061,0.7998954690564057,0.1816260650797103,0.5374550781156247
60,2024,control53,14294,0.0843011053588918,0.806759088512764,0.0654153603617637,0.2344121923361986
60,2024,excursion_dist,14294,0.0843011053588918,0.8121413280100582,0.0669513155253896,0.239038158629029
60,2024,hgb_regime,14294,0.0843011053588918,0.8059873531003354,0.0667894966283755,0.2372593872378217
60,2024,regime_logit,14294,0.0843011053588918,0.8130947116279261,0.065957278689191,0.2350697983908516
60,2024,survival_logit_60m_purged_pack,14294,0.0843011053588918,0.812978494817954,0.0660154702955015,0.2354006583372331
60,2025,control53,13958,0.3087834933371543,0.8316079838625896,0.1486922106426015,0.4578556233268736
60,2025,excursion_dist,13958,0.3087834933371543,0.8278478186215096,0.153072041011618,0.4697014883667015
60,2025,hgb_regime,13958,0.3087834933371543,0.8237615696652083,0.1590614394178849,0.4818399040665092
60,2025,regime_logit,13958,0.3087834933371543,0.8381326642118102,0.1488187785579078,0.46703264592471
60,2025,survival_logit_60m_purged_pack,13958,0.3087834933371543,0.8384204028196218,0.1490051733620618,0.4717024463329197
60,2026,control53,9352,0.6999572284003421,0.7868464829958239,0.1669109999663763,0.4942798940139137
60,2026,excursion_dist,9352,0.6999572284003421,0.777189946295954,0.1718009710888573,0.5145264749868955
60,2026,hgb_regime,9352,0.6999572284003421,0.7832135222001477,0.1709596033841862,0.5158688565621835
60,2026,regime_logit,9352,0.6999572284003421,0.7927607115737108,0.1654353831629544,0.4909351892183231
60,2026,survival_logit_60m_purged_pack,9352,0.6999572284003421,0.7925212199688199,0.1656522883302583,0.4918496850154619
